"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MICL0005","HARRISON 5.2 ESE, MI US","2014",,,,"       154","        70",,,,,,,,,,,"2.78",,,,,,,,,,,,,,,,"36.26",,,,,,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2014","6.5","358","358","       153","        73",,,"        19","       163","        90","       114","         2","-18",,,"2.69","90","8198",,,"8198",,,,,,,,,,,"32.59",,"43.5","52.2","34.9","       100",,,,"33.1",,
"US1MIBR0003","MIDDLEVILLE 4.3 SSE, MI US","2014",,,,"       161","        93",,,,,,,,,,,"3.23",,,,,,,,,,,,,,,,"41.24",,,,,,,,,,,
"USC00201818","CORUNNA 2 NE, MI US","2014",,,,"       133","        78",,,,,,,,,,,"1.61",,,,,,,,,,,,,,,,"33.12",,,,,,,,,,,
"USW00094871","BENTON HARBOR, MI US","2014","8.1","421","421","       131","        66",,,"        15","       145","        76","       118","         0","-10",,,"1.90","89",,,,,,,,,,,,,,,"28.77",,"45.6","54.4","36.7","       260","       280",,,"40.0","53.0",
"USC00201017","BROOKLYN 2 ENE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00205065","MANISTEE 3 SE, MI US","2014",,,,"       195","        88",,,,,,,,,,,"2.78",,,,,,,,,,,,,,,,"41.66",,,,,,,,,,,
"USC00206398","PAULDING, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","2014",,,,"       130","        68",,,,,,,,,,,"3.20",,,,,,,,,,,,,,,,"31.09",,,,,,,,,,,
"USC00206158","OLD MISSION 3 SSW, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33.62",,,,,,,,,,,
"USC00200050","AHMEEK 1 SW, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00207364","SAULT STE MARIE, MI US","2014",,"96","96","       188","       107","      167","        53","        58","       184","       110","        80","         0","-27","32","12.1","1.65","85","10453",,,"10453",,,,,,,,,,,"42.31","187.8","37.0","46.9","27.2",,,,,,,
"US1MIBR0013","HASTINGS 4.3 SSW, MI US","2014",,,,"       155","       120",,,,,,,,,,,"1.70",,,,,,,,,,,,,,,,"46.98",,,,,,,,,,,
"US1MIMR0004","MONROE 3.0 S, MI US","2014",,,,"       138","        76",,,,,,,,,,,"2.02",,,,,,,,,,,,,,,,"31.72",,,,,,,,,,,
"USC00204090","IRON MTN KINGSFORD WWTP, MI US","2014",,"236","236","       133","        87","      157","        32","        66","       183","       109","       112","         0","-26","30","6.0","2.39","87","9935",,,"9935",,,,,,,,,,,"33.87","99.2","38.5","49.2","27.8",,,,,,,
"USC00203769","HESPERIA 4 WNW, MI US","2014",,,,,,,,,,,,,,,,,,"8211",,,"8211",,,,,,,,,,,,,,,,,,,,,,
"USC00200495","BARAGA 5 W, MI US","2014",,,,"       132","        68",,,,,,,,,,,"1.65",,,,,,,,,,,,,,,,"30.52",,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","2014","8.7","573","573","       141","        74","       93","        22","        26","       144","        70","       138","         2","-21","16","14.5","2.64","93","7522",,,"7522",,,,,,,,,,,"35.43","75.6","46.3","56.2","36.3","        10","       240",,,"36.9","57.0",
"USC00200497","BARAGA 7 NW, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014828","GLADWIN, MI US","2014",,"259","259","       134","        82","      103","        18","        38","       155","        77","       123","         0","-21","21","8.0","2.78","87","8701",,,"8701",,,,,,,,,,,"34.37","48.6","43.3","54.0","32.7",,,,,,,
"USC00200135","ALLENDALE 3 ESE, MI US","2014",,,,,,,,,,,,,,,,,,"7718",,,"7718",,,,,,,,,,,,,,,,,,,,,,
"USC00201468","CHARLEVOIX, MI US","2014",,"242","242","       174","       101","      119","        35","        23","       157","        89","        76","         2","-17","36","8.9","1.48","90","8786",,,"8786",,,,,,,,,,,"40.68","98.4","41.6","49.1","34.0",,,,,,,
"USC00205822","NEWPORT 4 SSE, MI US","2014",,"674","674","       130","        59",,,"        19","       128","        59","       140","         6","-13",,,"3.55","93","7063",,,"7063",,,,,,,,,,,"27.61",,"47.4","57.1","37.8",,,,,,,
"USC00208417","VANDERBILT 11 ENE, MI US","2014",,"117","117",,,"      147",,"        54","       195","        95","       109","         1","-34","29",,,"90","9799",,,"9799",,,,,,,,,,,,,"38.4","50.2","26.7",,,,,,,
"USC00203096","GAYLORD, MI US","2014",,"132","132","       188","       113","      151","        49","        44","       186","       107","        95","         0","-23","27","13.8","1.43","87","9596",,,"9596",,,,,,,,,,,"43.73","166.6","38.7","47.7","29.7",,,,,,,
"US1MIWY0043","DEARBORN HEIGHTS 1.8 NW, MI US","2014",,,,"       155","        76",,,,,,,,,,,"4.97",,,,,,,,,,,,,,,,"38.47",,,,,,,,,,,
"US1MISC0003","PORT HURON 1.6 W, MI US","2014",,,,"       136","        70","       84","        20",,,,,,,"16","6.8","2.16",,,,,,,,,,,,,,,,"33.82","61.6",,,,,,,,,,
"USC00203099","GAYLORD 9 SSW, MI US","2014",,"181","181","       186","        97","      139","        48","        21","       174","       100","       100","         0","-13","29","10.7","1.71","88","9109",,,"9109",,,,,,,,,,,"43.28","151.9","40.5","48.7","32.2",,,,,,,
"USW00014833","JACKSON REYNOLDS FIELD, MI US","2014","7.6","474","474","       134","        65",,,"        22","       152","        81","       132","         1","-16",,,"1.71","93","7574",,,"7574",,,,,,,,,,,"30.18",,"45.5","55.2","35.8","       230","       220",,,"38.9","53.9",
"US1MICT0002","HASLETT 1.2 N, MI US","2014",,,,"       152","        80","       97","        20",,,,,,,"21","10.0","1.33",,,,,,,,,,,,,,,,"35.46","67.0",,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2014","8.7","464","464","       140","        74","       89","        15","        19","       149","        80","       131","         0","-13","19","9.5","2.75","89","7612",,,"7612",,,,,,,,,,,"37.51","60.3","45.4","54.7","36.2","       320","       310",,,"40.9","57.0",
"USW00094898","PORT HOPE, MI US","2014","7.2",,,"       164","        66",,,,,,,,,,,"1.41",,,,,,,,,,,,,,,,"30.22",,,,,"        20","       220",,,"40.0","55.0",
"USW00094899","COPPER HARBOR, MI US","2014","9.4",,,"       174","        82",,,,,,,,,,,"1.27",,,,,,,,,,,,,,,,"33.64",,,,,"        80","       360",,,"42.9","52.1",
"USC00202328","DURAND WWTP, MI US","2014",,"398","398","       142","        73","       83","        16","        33","       148","        79","       130","         1","-17","16","6.1","2.68","93",,,,,,,,,,,,,,,"35.30","60.9","44.3","55.2","33.5",,,,,,,
"US1MIMN0006","WELLSTON 3.9 WNW, MI US","2014",,,,"       137","       100",,"        33",,,,,,,,"12.5","2.70",,,,,,,,,,,,,,,,"45.93","99.9",,,,,,,,,,
"USW00094893","IRON MOUNTAIN FORD AIRPORT, MI US","2014","7.2","211","211","        98","        40",,,"        64","       186","       105","       114","         0","-27",,,"1.83","88","9915",,,"9915",,,,,,,,,,,"16.37",,"38.2","49.2","27.2","       170","       160",,,"35.1","48.1",
"USW00014838","MARQUETTE, MI US","2014",,,,"       154","        83",,,,,,,,,,,"3.20",,,,,,,,,,,,,,,,"34.56",,,,,,,,,,,
"USC00201476","CHARLOTTE, MI US","2014",,"384","384","       160","        83",,,"        31","       164","        82","       125","         0","-15",,,"1.90","88","7988",,,"7988",,,,,,,,,,,"36.63",,"44.2","54.1","34.2",,,,,,,
"USC00200146","ALMA, MI US","2014",,"327","327","       138","        69","       85","        14","        25","       166","        82","       124","         0","-15","16","7.0","4.42","87","8078",,,"8078",,,,,,,,,,,"33.72","35.7","43.9","53.7","34.0",,,,,,,
"USC00202445","EAU CLAIRE 4 NE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203413","GREEN GARDEN NUMBER 2, MI US","2014",,,,"       192","        90","      157","        44",,,,,,,"22","10.5","3.80",,,,,,,,,,,,,,,,"42.02","152.8",,,,,,,,,,
"USC00206007","NORTHPORT 2 W, MI US","2014",,"169","169","       183","        92","      127","        40","        23","       159","        92","        85","         0","-12","25","12.0","1.93","89","8637",,,"8637",,,,,,,,,,,"40.37","118.7","41.7","49.2","34.3",,,,,,,
"USR0000MSEN","SENEY MICHIGAN, MI US","2014",,"87","87",,,,,"        55","       181","        97","        94","         0","-28",,,,"84","9534",,,"9534",,,,,,,,,,,,,"38.2","48.3","28.1",,,,,,,
"USC00204502","LAKE CITY EXPERIMENTAL FARM, MI US","2014",,"188","188","       169","        79","      120","        28","        47","       185","        97","       112","         0","-27","26","5.6","2.34","86","9234",,,"9234",,,,,,,,,,,"34.38","72.2","40.5","51.2","29.9",,,,"21525.5",,,
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2014",,"373","373","       171","        82","      130","        57","        13","       148","        93","       108","         1","-10","19","9.0","3.10","90","8184",,,"8184",,,,,,,,,,,"38.25","131.3","43.4","50.9","35.9",,,,"24958.6",,,
"USC00207222","SAGINAW NUMBER 3, MI US","2014",,"471","471","       124","        81",,,"        27","       147","        74","       122","         0","-14",,,"2.53","89","7502",,,"7502",,,,,,,,,,,"38.25",,"45.0","54.4","35.7",,,,,,,
"USW00014840","MUSKEGON CO AIRPORT, MI US","2014","9.6","425","425","       159","        80","      106","        37","        10","       142","        75","       123","         0","-7","27","8.1","3.93","88","7243",,,"7243",,,,,,,,,,,"38.64","110.6","46.1","54.3","37.9","       220","       320",,,"44.1","59.9",
"USC00206013","NWSFO GRAND RAPIDS, MI US","2014",,,,"       168","        90",,"        34",,,,,,,,"9.6","2.16",,,,,,,,,,,,,,,,"40.33","111.3",,,,,,,,,,
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2014","7.4","138","138","       151","        85",,,"        48","       181","        96","       107","         1","-33",,,"1.74","92","9695",,,"9695",,,,,,,,,,,"35.79",,"39.2","49.9","28.5","       320",,,,"33.1",,
"USC00207225","SAGINAW 5 W, MI US","2014",,,,"       137","        72",,,,,,,,,,,"2.13",,,,,,,,,,,,,,,,"35.47",,,,,,,,,,,
"USC00203661","HASTINGS, MI US","2014",,"419","419","       176","        91",,,"        20","       165","        84","       132","         0","-17",,,"1.92","88","7800",,,"7800",,,,,,,,,,,"37.53",,"44.8","55.0","34.6",,,,,,,
"USW00014845","SAGINAW MBS INTERNATIONAL AIRPORT, MI US","2014","9.6","516","516","       132","        71","       88","        13","        18","       143","        81","       132","         1","-11","22","7.1","2.34","90","7647",,,"7647",,,,,,,,,,,"31.89","43.7","45.8","54.8","36.9","       220","       230",,,"45.0","57.0",
"USC00202691","FARMINGTON, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2014","7.4","97","97","       181","        93","      167","        52","        44","       172","       108","        84","         0","-21","32","18.2","2.24","85","9679",,,"9679",,,,,,,,,,,"40.56","182.3","38.6","47.2","30.1","       320",,,,"32.0",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2014",,"379","379","       131","        60",,,"        33","       154","        71","       133","         3","-20",,,"1.03","90","7819",,,"7819",,,,,,,,,,,"21.61",,"44.8","55.8","33.7","       230","       330",,,"40.9","87.0",
"US1MIJC0014","RIVES JUNCTION 4.0 NW, MI US","2014",,,,"       158","        78",,,,,,,,,,,"1.66",,,,,,,,,,,,,,,,"33.81",,,,,,,,,,,
"USC00200758","BEULAH 7 SSW, MI US","2014",,"298","298","       178","        93","      118","        34","        15","       158","        88","       112","         0","-10","22","9.2","3.08","89","8125",,,"8125",,,,,,,,,,,"44.18","99.6","43.3","51.8","34.8",,,,,,,
"USW00004847","ADRIAN LENAWEE CO AIRPORT, MI US","2014","8.1","546","546","        73","        38",,,"        21","       138","        76","       134","         3","-18",,,"1.82","95","7486",,,"7486",,,,,,,,,,,"13.62",,"46.3","55.9","36.7","       310","       290",,,"52.1","80.1",
"USC00200197","AMASA 1 W, MI US","2014",,,,,,"      144","        43",,,,,,,"32","13.0",,,,,,,,,,,,,,,,,"31.56","136.7",,,,,,,,,,
"USC00202015","DEARBORN, MI US","2014",,"575","575","       137","        81",,,"        17","       139","        62","       134","         1","-15",,,"6.16","90","6930",,,"6930",,,,,,,,,,,"39.93",,"46.9","56.3","37.5",,,,,,,
"USC00202375","EAST GRAND RAPIDS, MI US","2014",,,,"       170","        92","      100","        37",,,,,,,"24","10.5","2.07",,,,,,,,,,,,,,,,"42.75","112.9",,,,,,,,,,
"USC00203585","HARBOR BEACH 1 SSE, MI US","2014",,"218","218","       142","        74",,,"        27","       160","        85","        80","         0","-14",,,"1.64","89","8659",,,"8659",,,,,,,,,,,"33.21",,"42.2","50.1","34.3",,,,,,,
"US1MICX0004","CHARLEVOIX 4.3 SSE, MI US","2014",,,,"       169","        78",,,,,,,,,,,"1.46",,,,,,,,,,,,,,,,"36.66",,,,,,,,,,,
"USC00205406","MICHIGAMME 3 WNW, MI US","2014",,,,"       172","        82",,,,,,,,,,,"1.51",,,,,,,,,,,,,,,,"32.65",,,,,,,,,,,
"US1MIIN0001","SARANAC 2.6 NE, MI US","2014",,,,"       167","        89","       99","        27",,,,,,,"24","7.6","2.96",,,,,,,,,,,,,,,,"39.70","95.6",,,,,,,,,,
"USC00202016","DEARBORN NUMBER 2, MI US","2014",,"629","629","       125","        81",,,"        17","       131","        60","       134","         5","-14",,,"6.31","93","6952",,,"6952",,,,,,,,,,,"36.83",,"47.4","56.8","38.0",,,,,,,
"USC00207277","ST JAMES 4 SSW BEAVER ISLAND, MI US","2014",,,,"       124","        94","      149","        38",,,,,,,"30","15.5","2.50",,,,,,,,,,,,,,,,"40.24","121.9",,,,,,,,,,
"USC00202381","EAST JORDAN, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00205097","MAPLE CITY 1 E, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00206982","RICHMOND 4 NNW, MI US","2014",,"489","489","       127","        81","       85","        18","        30","       154","        78","       124","         7","-17","20","8.6","2.97","94","8013",,,"8013",,,,,,,,,,,"38.13","54.9","44.8","54.6","34.9",,,,,,,
"USC00206184","ONAWAY 4 N, MI US","2014",,"197","197","       171","        89","      131","        36","        41","       170","        88","       116","         0","-28","24","9.4","2.56","89","9027",,,"9027",,,,,,,,,,,"38.48","101.2","41.1","51.0","31.2",,,,,,,
"USC00204320","KENT CITY 2 SW, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIOK0074","SOUTH LYON 0.5 NW, MI US","2014",,,,"       131","        81",,,,,,,,,,,"2.93",,,,,,,,,,,,,,,,"34.11",,,,,,,,,,,
"USC00202382","EAST JORDAN 2 NW, MI US","2014",,"238","238","       164","       104","      149","        40","        34","       169","        91","       100","         1","-26","36","11.7","1.62","90","9139",,,"9139",,,,,,,,,,,"42.55","142.0","40.9","49.8","32.0",,,,,,,
"USC00205892","NILES, MI US","2014",,"569","569","       164","       101","       82","        27","        18","       138","        74","       133","         1","-15","18","8.0","2.34","90","7212",,,"7212",,,,,,,,,,,"47.07","102.4","46.7","56.1","37.3",,,,,,,
"USC00207275","ST. IGNACE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000MMIO","MIO MICHIGAN, MI US","2014",,"148","148",,,,,"        45","       184","        93","       112","         0","-30",,,,"88","9216",,,"9216",,,,,,,,,,,,,"40.0","51.1","29.0",,,,,,,
"USW00004839","HOLLAND TULIP CITY AIRPORT, MI US","2014","8.7","549","549","       158","        82",,,"        10","       131","        70","       130","         2","-11",,,"1.84","91","7099",,,"7099",,,,,,,,,,,"33.59",,"47.0","55.7","38.3","       230","       240",,,"46.1","55.9",
"USC00203477","GROSSE POINTE FARMS, MI US","2014",,"516","516","       123","        75",,,"        19","       136","        70","       112","         4","-14",,,"3.06","91","7114",,,"7114",,,,,,,,,,,"37.07",,"45.9","54.0","37.8",,,,,,,
"USC00205533","MIO WWTP, MI US","2014",,"241","241","       179","        76","      122","        15","        42","       179","        85","       117","         0","-27","22","4.7","1.58","89","8905",,,"8905",,,,,,,,,,,"37.92","49.3","41.2","52.2","30.2",,,,,,,
"USC00200089","ALBERTA FORD FOR CENTER, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00201178","CADILLAC 9 AND 10 NEWS, MI US","2014",,"194","194",,,,,"        42","       178","        96","       109","         0","-27",,,,"86","9065",,,"9065",,,,,,,,,,,,,"40.8","50.8","30.7",,,,,,,
"USC00206507","PETOSKEY, MI US","2014",,"185","185","       177","       108",,"        59","        32","       164","        92","        66","         1","-20",,"18.0","1.72","90","8823",,,"8823",,,,,,,,,,,"44.45","194.3","40.7","48.3","33.1",,,,,,,
"USC00208249","TRAVERSE CITY MUNSON, MI US","2014",,"306","306","       186","        91","      126","        38","        22","       169","        94","       104","         1","-15","26","9.8","2.95","90","8522",,,"8522",,,,,,,,,,,"41.56","111.9","42.4","50.8","34.0",,,,,,,
"USC00208800","WEST BRANCH 3 SE, MI US","2014",,"222","222","       170","        90","      107","        20","        45","       182","        90","       115","         0","-24","20","5.9","2.10","87","9059",,,"9059",,,,,,,,,,,"37.56","49.1","41.1","51.6","30.7",,,,,,,
"USC00206510","PETOSKEY NCMC, MI US","2014",,"233","233","       182","       105","      134","        46","        43","       173","        98","        83","         1","-27","34","11.4","1.69","92","9459",,,"9459",,,,,,,,,,,"43.29","151.7","40.0","48.4","31.6",,,,,,,
"US1MIGR0001","BRECKENRIDGE 0.2 ESE, MI US","2014",,,,"       140","        67",,"        18",,,,,,,,"8.8","1.78",,,,,,,,,,,,,,,,"30.45","54.5",,,,,,,,,,
"USC00200094","ALBION, MI US","2014",,"409","409","       147","        84",,,"        25","       164","        81","       128","         1","-16",,,"1.90","90","7816",,,"7816",,,,,,,,,,,"37.61",,"44.3","54.7","34.0",,,,,,,
"USC00205662","CENTRAL MICHIGAN UNIVERSITY, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIET0005","GRAND LEDGE 0.3 NNE, MI US","2014",,,,"       153","        74",,"        12",,,,,,,,"6.4","2.20",,,,,,,,,,,,,,,,"35.66","52.1",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2014","9.4","582","582","       168","        90","       94","        34","        10","       144","        75","       133","         0","-12","24","9.6","2.16","89","7259",,,"7259",,,,,,,,,,,"40.30","111.3","46.6","55.5","37.6","       230","       240",,,"44.1","59.9",
"USC00204655","LAPEER WWTP, MI US","2014",,,,"       132","        78",,,,,,,,,,,"1.76",,,,,,,,,,,,,,,,"30.16",,,,,,,,,,,
"USC00202598","ENGADINE MDOT, MI US","2014",,"45","45",,,,,"        61","       194","        97","        91","         0","-29",,,,"84","10161",,,"10161",,,,,,,,,,,"32.42",,"37.3","48.1","26.4",,,,,,,
"USC00204659","LAPEER 2 W, MI US","2014",,"431","431","       163","        90",,,"        28","       150","        70","       121","         1","-19",,,"1.76","91","7653",,,"7653",,,,,,,,,,,"34.87",,"45.0","54.7","35.3",,,,,,,
"USC00205073","MANISTIQUE WWTP, MI US","2014",,"22","22","       142","        74",,,"        55","       177","       104","        45","         0","-17",,,"2.80","85","10055",,,"10055",,,,,,,,,,,"33.33",,"37.5","45.6","29.4",,,,,,,
"USC00206840","RAPID RIVER 4 SSE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00201150","BURTON 4 N, MI US","2014",,"373","373","       154","        87",,,"        32","       170","        68","       132","         3","-18",,,"1.56","91","7772",,,"7772",,,,,,,,,,,"34.91",,"44.1","55.8","32.5",,,,,,,
"USR0000MBAL","BALDWIN MICHIGAN, MI US","2014",,"230","230",,,,,"        33","       178","        91","       120","         0","-28",,,,"88","8568",,,"8568",,,,,,,,,,,,,"42.0","52.8","31.1",,,,,,,
"USW00054854","GAYLORD 9 SSW, MI US","2014",,"139","139",,,,,"        30","       172","       103","        92","         0","-18",,,,"86","9359",,,"9359",,,,,,,,,,,,,"39.6","47.8","31.5",,,,,,,
"USW00004854","GAYLORD OTSEGO CO AIRPORT, MI US","2014","7.6","166","166","       146","        77",,,"        37","       180","       101","        98","         0","-29",,,"1.45","87","9508",,,"9508",,,,,,,,,,,"32.95",,"39.5","48.5","30.5","       230",,,,"38.0",,
"USW00094850","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","2014",,"145","145","       178","        97","      178","        64","        64","       188","       126","        76","         0","-28","41","16.0","2.34","87",,,,,,,,,,,,,,,"44.88","212.9","36.4","45.8","27.0",,,,,,,
"US1MIMD0005","MIDLAND 1.8 ENE, MI US","2014",,,,"       131","        68",,,,,,,,,,,"1.16",,,,,,,,,,,,,,,,"23.78",,,,,,,,,,,
"USC00200864","BLOOMINGDALE, MI US","2014",,,,,,,,,,,,,,,,,,"6929",,,"6929",,,,,,,,,,,"42.16",,,,,,,,,,,
"US1MILL0003","NORTHPORT 0.1 SW, MI US","2014",,,,"       184","        86",,,,,,,,,,,"1.45",,,,,,,,,,,,,,,,"37.04",,,,,,,,,,,
"USC00207812","STAMBAUGH 2 SSE, MI US","2014",,"82","82","       169","        78",,,"        91","       207","       121","        80","         0","-35",,,"1.87","86","11151",,,"11151",,,,,,,,,,,"31.61",,"34.2","46.3","22.1",,,,,,,
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2014","7.4","155","155","       141","        73","      112","        20","        39","       176","        91","       112","         0","-23","18","11.0","2.94","89","9214",,,"9214",,,,,,,,,,,"34.84","53.3","40.7","50.6","30.8","       190","       230",,,"33.1","46.1",
"US1MILL0001","NORTHPORT 5.0 SSW, MI US","2014",,,,"       176","        95",,,,,,,,,,,"2.41",,,,,,,,,,,,,,,,"38.75",,,,,,,,,,,
"USC00202250","DOWAGIAC 1 W, MI US","2014",,,,"       168","        96","       87","        35",,,,,,,"20","8.0","3.27",,,,,,,,,,,,,,,,"43.72","122.4",,,,,,,,,,
"US1MIOK0047","BLOOMFIELD TOWNSHIP 3.1 SW, MI US","2014",,,,"       110","        71",,,,,,,,,,,"2.59",,,,,,,,,,,,,,,,"36.22",,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2014","8.5","677","677","       144","        75","       86","        22","        13","       133","        66","       138","         4","-14","20","10.2","4.57","94","7066",,,"7066",,,,,,,,,,,"37.65","82.4","47.7","56.5","38.9","       210","       200",,,"46.1","61.1",
"USC00203947","HOWELL WWTP, MI US","2014",,,,,,,,,,,,,,,,,,"7713",,,"7713",,,,,,,,,,,,,,,,,,,,,,
