file_order,col_name,col_type,length,col_description,codes,code_map
11,BLDSHP,Num,8,Building shape,"1=Square
2=Wide rectangle
3=Narrow rectangle
4=Rectangle or square with an interior courtyard
5=""H"" shaped
6=""U"" shaped
7=""E"" shaped
8=""T"" shaped
9=""L"" shaped
10=""+"" or cross shaped
11=Other shape","{'00001 - 06436': 'continuous numerical range', '1': 'Square', '2': 'Wide rectangle', '3': 'Narrow rectangle', '4': 'Rectangle or square with an interior courtyard', '5': 'H"" shaped', '6': 'U"" shaped', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped'}"
12,GLSSPC,Num,8,Percent exterior glass,"1=1% or less
2=2 to 10%
3=11 to 25%
4=26 to 50%
5=51 to 75%
6=76 to 100%","{'00001 - 06436': 'continuous numerical range', '1': '1% or less', '2': '2 to 10%', '3': '11 to 25%', '4': '26 to 50%', '5': '51 to 75%', '6': '76 to 100%', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped'}"
13,NFLOOR,Num,8,Number of floors,"1 - 9
994=10 - 14
995=15 or more","{'00001 - 06436': 'continuous numerical range', '1': '1% or less', '2': '2 to 10%', '3': '11 to 25%', '4': '26 to 50%', '5': '51 to 75%', '6': '76 to 100%', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': '15 or more'}"
14,BASEMNT,Num,8,Number of underground floors,"0 - 4
995=5 or more
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': '1% or less', '2': '2 to 10%', '3': '11 to 25%', '4': '26 to 50%', '5': '51 to 75%', '6': '76 to 100%', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': '5 or more', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable'}"
15,FLCEILHT,Num,8,Floor to ceiling height,"7 - 50
995=More than 50","{'00001 - 06436': 'continuous numerical range', '1': '1% or less', '2': '2 to 10%', '3': '11 to 25%', '4': '26 to 50%', '5': '51 to 75%', '6': '76 to 100%', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 50', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range'}"
16,ATTIC,Num,8,Attic,"1=Yes
2=No","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '11 to 25%', '4': '26 to 50%', '5': '51 to 75%', '6': '76 to 100%', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 50', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range'}"
17,ELEVTR,Num,8,Elevators,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '11 to 25%', '4': '26 to 50%', '5': '51 to 75%', '6': '76 to 100%', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 50', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range'}"
18,NELVTR,Num,8,Number of elevators,"1 - 30
995=More than 30
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '11 to 25%', '4': '26 to 50%', '5': '51 to 75%', '6': '76 to 100%', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 30', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range'}"
19,ESCLTR,Num,8,Escalators,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '11 to 25%', '4': '26 to 50%', '5': '51 to 75%', '6': '76 to 100%', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 30', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range'}"
20,NESLTR,Num,8,Number of escalators,"1 - 10
995=More than 10
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '11 to 25%', '4': '26 to 50%', '5': '51 to 75%', '6': '76 to 100%', '7': 'E"" shaped', '8': 'T"" shaped', '9': 'L"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
21,YRCONC,Num,8,Year of construction category,"2=Before 1946
3=1946 to 1959
4=1960 to 1969
5=1970 to 1979
6=1980 to 1989
7=1990 to 1999
8=2000 to 2012
9=2013 to 2018","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'Before 1946', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
22,RENOV,Num,8,Renovations,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
23,RENCOS,Num,8,Cosmetic improvements,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
24,RENADD,Num,8,Addition or annex,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
25,RENRDC,Num,8,Reduction of floorspace,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
26,RENINT,Num,8,Interior wall re-configuration,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
27,RENRFF,Num,8,Roof replacement,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
28,RENWIN,Num,8,Window replacement,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
29,RENHVC,Num,8,HVAC equipment upgrade,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
30,RENLGT,Num,8,Lighting upgrade,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
31,RENPLB,Num,8,Plumbing system upgrade,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
32,RENELC,Num,8,Electrical upgrade,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
33,RENINS,Num,8,Insulation upgrade,"1=Yes
2=No
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '1946 to 1959', '4': '1960 to 1969', '5': '1970 to 1979', '6': '1980 to 1989', '7': '1990 to 1999', '8': '2000 to 2012', '9': '2013 to 2018', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping center', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '+"" or cross shaped', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range'}"
