file_order,col_name,col_type,length,format,col_description,codes,code_map
11.0,RFTILT,Char,1.0,$PITCH.,Roof tilt,"'1' = 'Flat'
'2' = 'Shallow pitch'
'3' = 'Steeper pitch'","{'00001 - 06720': 'continuous numerical range', '1': 'Flat', '2': 'Shallow pitch', '3': 'Steeper pitch', '4': 'Asphalt, fiberglass, or other shingles', '5': 'Metal surfacing', '6': 'Plastic, rubber, or synthetic sheeting (single or multiple ply)', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': '1,000 square feet or less', '02': '1,001 to 5,000 square feet', '04': '10,001 to 25,000 square feet', '05': '25,001 to 50,000 square feet', '06': '50,001 to 100,000 square feet', '07': '100,001 to 200,000 square feet', '08': '200,001 to 500,000 square feet', '11': 'Refrigerated warehouse', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'No', '1,001 - 1,500,000': 'continuous numerical range', '03': '5,001 to 10,000 square feet', '09': '500,001 to 1 million square feet', '10': 'Over 1 million square feet'}"
12.0,BLDSHP,Char,2.0,$SHAPE.,Building shape,"'01' = 'Square'
'02' = 'Wide rectangle'
'03' = 'Narrow rectangle'
'04' = 'Rectangle or square with an interior courtyard'
'05' = '""H"" shaped'
'06' = '""U"" shaped'
'07' = '""E"" shaped'
'08' = '""T"" shaped'
'09' = '""L"" shaped'
'10' = '""+"" or cross shaped'
'11' = 'Other shape'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Flat', '2': 'Shallow pitch', '3': 'Steeper pitch', '4': 'Asphalt, fiberglass, or other shingles', '5': 'Metal surfacing', '6': 'Plastic, rubber, or synthetic sheeting (single or multiple ply)', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped'}"
13.0,GLSSPC,Char,1.0,$GLSPCT.,Percent exterior glass,"'1' = '1 percent or less'
'2' = '2 to 10 percent'
'3' = '11 to 25 percent'
'4' = '26 to 50 percent'
'5' = '51 to 75 percent'
'6' = '76 to 100 percent'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': '1 percent or less', '2': '2 to 10 percent', '3': '11 to 25 percent', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped'}"
14.0,EQGLSS,Char,1.0,$YESNO.,Equal glass on all sides,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '11 to 25 percent', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped'}"
15.0,SUNGLS,Char,1.0,$GLSAREA.,Glass sides most sunlight,"'1' = 'More glass area'
'2' = 'Less glass area'
'3' = 'About the same amount'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'More glass area', '2': 'Less glass area', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped'}"
16.0,NFLOOR,Num,8.0,,Number of floors,"1 - 14
994 = 15 to 25
995 = More than 25","{'00001 - 06720': 'continuous numerical range', '1': 'More glass area', '2': 'Less glass area', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 25'}"
17.0,BASEMNT,Num,8.0,,Number of underground floors,"0 - 7
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'More glass area', '2': 'Less glass area', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 25', '0 - 7': 'continuous numerical range'}"
18.0,FLCEILHT,Num,8.0,,Floor to ceiling height,"6 - 50
995 = More than 50","{'00001 - 06720': 'continuous numerical range', '1': 'More glass area', '2': 'Less glass area', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 50', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range'}"
19.0,ATTIC,Char,1.0,$YESNO.,Attic,"'1' = 'Yes'
'2' = 'No'","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 50', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range'}"
20.0,ELEVTR,Char,1.0,$YESNO.,Elevators,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 50', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range'}"
21.0,NELVTR,Num,8.0,,Number of elevators,"1 - 50
995 = More than 50","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 50', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range'}"
22.0,ESCLTR,Char,1.0,$YESNO.,Escalators,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 50', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range'}"
23.0,NESLTR,Num,8.0,,Number of escalators,"1 - 20
995 = More than 20","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 20', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range'}"
24.0,YRCON,Num,8.0,,Year of construction,"995 = Before 1946
1946 - 2012","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Square', '02': 'Wide rectangle', '04': 'Rectangle or square with an interior courtyard', '05': 'H"" shaped', '06': 'U"" shaped', '07': 'E"" shaped', '08': 'T"" shaped', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'Narrow rectangle', '09': 'L"" shaped', '10': '+"" or cross shaped', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'Before 1946', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range'}"
25.0,YRCONC,Char,2.0,$YRCONC.,Year of construction category,"'01' = 'Before 1920'
'02' = '1920 to 1945'
'03' = '1946 to 1959'
'04' = '1960 to 1969'
'05' = '1970 to 1979'
'06' = '1980 to 1989'
'07' = '1990 to 1999'
'08' = '2000 to 2003'
'09' = '2004 to 2007'
'10' = '2008 to 2012'","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'Before 1920', '02': '1920 to 1945', '04': '1960 to 1969', '05': '1970 to 1979', '06': '1980 to 1989', '07': '1990 to 1999', '08': '2000 to 2003', '11': 'Other shape', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '1946 to 1959', '09': '2004 to 2007', '10': '2008 to 2012', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'Before 1946', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range'}"
26.0,MONCON,Char,2.0,$MONTH.,Month ready for occupancy,"'01' = 'January'
'02' = 'February'
'03' = 'March'
'04' = 'April'
'05' = 'May'
'06' = 'June'
'07' = 'July'
'08' = 'August'
'09' = 'September'
'10' = 'October'
'11' = 'November'
'12' = 'December'
'97' = 'Undetermined'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'About the same amount', '4': '26 to 50 percent', '5': '51 to 75 percent', '6': '76 to 100 percent', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': 'January', '02': 'February', '04': 'April', '05': 'May', '06': 'June', '07': 'July', '08': 'August', '11': 'November', '12': 'December', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': 'March', '09': 'September', '10': 'October', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'Before 1946', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Undetermined'}"
