"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","RICE - ACRES HARVESTED  -  <b>VALUE</b>","RICE - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,039,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,512,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,257,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,103,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,804,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,093,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,316,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,833,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,132,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,781,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,823,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,687,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,900,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,333,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,360,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,492,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,802,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,169,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,262,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,792,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,312,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,869,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,970,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,249,000",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,480,000",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,818,000",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,531,000",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,170,200",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,817,900",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,817,900",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,814,700",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,128,400",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,353,400",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,970,100",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,967,200",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,792,700",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,785,600",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,770,800",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,772,600",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,588,900",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,594,800",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,586,100",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,414,700",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,339,900",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,569,400",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,826,400",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,550,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,159,200",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,997,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,996,400",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,637,200",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,858,300",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,804,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,708,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,582,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,499,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,480,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,472,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,457,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,214,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,069,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,045,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,076,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,099,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","981,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","817,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","812,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","798,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","874,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","965,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","966,000",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","860,000",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","972,000",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,027,000",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,016,000",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","853,000",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","838,000",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","874,000",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,053,000",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","990,000",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,299,000",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,083,000",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","1,101,000",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","953,000",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","843,000",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","740,000",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","646,000",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","722,000",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","643,000",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","636,000",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","666,000",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","662,000",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","596,000",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","563,000",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","505,000",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","457,000",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","574,000",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","547,000",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","545,000",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","423,000",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","361,000",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","338,000",""
"SURVEY","1898","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","314,000",""
"SURVEY","1897","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","290,000",""
"SURVEY","1896","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","270,000",""
"SURVEY","1895","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","292,000",""
