"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","RYE - ACRES HARVESTED  -  <b>VALUE</b>","RYE - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","661,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","708,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","979,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","892,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","677,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","685,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","650,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","850,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","926,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","677,000",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","719,000",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","728,000",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","784,000",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","955,000",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,050,000",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,751,000",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,427,000",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,291,000",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","996,000",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,063,000",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,276,000",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,473,000",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,696,000",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,588,000",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,981,000",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,543,000",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,688,000",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,457,000",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,797,000",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,718,000",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,624,000",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,049,000",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,795,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,430,000",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,393,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,722,000",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,753,000",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,554,000",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,058,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,991,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,597,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,850,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,132,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,652,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,792,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,573,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,204,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,822,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","4,087,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,825,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,694,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","4,066,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,921,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,405,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,350,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,159,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,646,000",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,138,000",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,320,000",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,466,000",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,427,000",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,807,000",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,943,000",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","4,946,000",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","6,770,000",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","4,865,000",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","4,843,000",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","7,187,000",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","6,709,000",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","5,064,000",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,528,000",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,417,000",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,144,000",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","3,089,000",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,724,000",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,452,000",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,262,000",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,212,000",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,130,000",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,073,000",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,154,000",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,297,000",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,205,000",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,260,000",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,444,000",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,409,000",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,127,000",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,059,000",""
"SURVEY","1898","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,204,000",""
"SURVEY","1897","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,323,000",""
"SURVEY","1896","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,599,000",""
"SURVEY","1895","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,400,000",""
"SURVEY","1894","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,166,000",""
"SURVEY","1893","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,162,000",""
"SURVEY","1892","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,239,000",""
"SURVEY","1891","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,180,000",""
"SURVEY","1890","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,116,000",""
"SURVEY","1889","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,248,000",""
"SURVEY","1888","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,181,000",""
"SURVEY","1887","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,985,000",""
"SURVEY","1886","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,918,000",""
"SURVEY","1885","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,897,000",""
"SURVEY","1884","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,100,000",""
"SURVEY","1883","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,123,000",""
"SURVEY","1882","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","2,080,000",""
"SURVEY","1881","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,749,000",""
"SURVEY","1880","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,752,000",""
"SURVEY","1879","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,825,000",""
"SURVEY","1878","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,905,000",""
"SURVEY","1877","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,844,000",""
"SURVEY","1876","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,770,000",""
"SURVEY","1875","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,647,000",""
"SURVEY","1874","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,568,000",""
"SURVEY","1873","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,553,000",""
"SURVEY","1872","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,563,000",""
"SURVEY","1871","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,588,000",""
"SURVEY","1870","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,559,000",""
"SURVEY","1869","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,631,000",""
"SURVEY","1868","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,620,000",""
"SURVEY","1867","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,649,000",""
"SURVEY","1866","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","1,509,000",""
