"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","COTTON - ACRES HARVESTED  -  <b>VALUE</b>","COTTON - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,155,000",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,051,100",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","10,159,300",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","7,997,300",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,552,600",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,612,700",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","14,054,600",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","14,212,000",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","15,569,000",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","15,634,000",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","15,309,000",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","15,117,000",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,849,000",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,558,000",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","15,615,000",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","16,928,000",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","19,251,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","24,341,000",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","25,921,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","26,949,000",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","17,843,000",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","27,439,000",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","22,911,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","21,330,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","17,584,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","17,029,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","19,617,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","21,610,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","22,602,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","22,236,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","23,861,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","23,805,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","24,248,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","33,623,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","29,755,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","27,509,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","26,866,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","29,383,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","35,891,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","38,704,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","42,444,000",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","43,232,000",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","42,434,000",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","38,342,000",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","44,608,000",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","44,386,000",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","39,501,000",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","35,550,000",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","31,361,000",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","28,678,000",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","34,408,000",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","32,906,000",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","35,038,000",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","32,245,000",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","33,071,000",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","29,951,000",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","35,615,000",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","35,206,000",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","32,557,000",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","34,916,000",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","31,508,000",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","30,555,000",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","31,091,000",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","30,729,000",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","31,404,000",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","27,753,000",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","30,077,000",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","27,762,000",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","27,561,000",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","27,050,000",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","24,886,000",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","24,163,000",""
"SURVEY","1898","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","24,715,000",""
"SURVEY","1897","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","25,131,000",""
"SURVEY","1896","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","23,230,000",""
"SURVEY","1895","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","19,839,000",""
"SURVEY","1894","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","21,886,000",""
"SURVEY","1893","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","20,256,000",""
"SURVEY","1892","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","18,869,000",""
"SURVEY","1891","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","21,503,000",""
"SURVEY","1890","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","20,937,000",""
"SURVEY","1889","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","20,191,000",""
"SURVEY","1888","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","19,520,000",""
"SURVEY","1887","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","18,793,000",""
"SURVEY","1886","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","18,370,000",""
"SURVEY","1885","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","17,922,000",""
"SURVEY","1884","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","16,849,000",""
"SURVEY","1883","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","16,295,000",""
"SURVEY","1882","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","15,638,000",""
"SURVEY","1881","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","16,483,000",""
"SURVEY","1880","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","15,921,000",""
"SURVEY","1879","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","14,474,000",""
"SURVEY","1878","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,539,000",""
"SURVEY","1877","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,606,000",""
"SURVEY","1876","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,747,000",""
"SURVEY","1875","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,348,000",""
"SURVEY","1874","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","10,753,000",""
"SURVEY","1873","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","10,998,000",""
"SURVEY","1872","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,580,000",""
"SURVEY","1871","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","8,285,000",""
"SURVEY","1870","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,238,000",""
"SURVEY","1869","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","7,751,000",""
"SURVEY","1868","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","6,973,000",""
"SURVEY","1867","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","7,864,000",""
"SURVEY","1866","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","7,666,000",""
