File order,"Variable
name",Variable type,"Len-
gth",Format,Label,Values/Format codes
34.0,RENWIN,Char,1.0,$YESNO.,Window replacement,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
35.0,RENHVC,Char,1.0,$YESNO.,HVAC equipment upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
36.0,RENLGT,Char,1.0,$YESNO.,Lighting upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
37.0,RENPLB,Char,1.0,$YESNO.,Plumbing system upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
38.0,RENELC,Char,1.0,$YESNO.,Electrical upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
39.0,RENINS,Char,1.0,$YESNO.,Insulation upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
40.0,RENSAF,Char,1.0,$YESNO.,"Fire, safety, or security upgrade","'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
41.0,RENSTR,Char,1.0,$YESNO.,Structural upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
42.0,RENOTH,Char,1.0,$YESNO.,Other renovation,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
43.0,ONEACT,Char,1.0,$YESNO.,One activity in building,"'1' = 'Yes'
'2' = 'No'"
44.0,ACT1,Char,2.0,$PBAX.,First activity in building,"'11' = 'Office/Professional'
'12' = 'Data center/Computer ""server farm""'
'13' = 'Warehouse/Storage'
'14' = 'Food sales or service'
'15' = 'Enclosed mall'
'16' = 'Retail (other than mall)'
'17' = 'Education'
'18' = 'Religious worship'
'19' = 'Public assembly'
'20' = 'Health care'
'21' = 'Service'
'22' = 'Lodging'
'23' = 'Public order and safety'
'24' = 'Residential'
'25' = 'Industrial'
'26' = 'Agricultural'
'27' = 'Vacant'
'28' = 'Other'
Missing = Not applicable"
45.0,ACT2,Char,2.0,$PBAX.,Second activity in building,"'11' = 'Office/Professional'
'12' = 'Data center/Computer ""server farm""'
'13' = 'Warehouse/Storage'
'14' = 'Food sales or service'
'15' = 'Enclosed mall'
'16' = 'Retail (other than mall)'
'17' = 'Education'
'18' = 'Religious worship'
'19' = 'Public assembly'
'20' = 'Health care'
'21' = 'Service'
'22' = 'Lodging'
'23' = 'Public order and safety'
'24' = 'Residential'
'25' = 'Industrial'
'26' = 'Agricultural'
'27' = 'Vacant'
'28' = 'Other'
Missing = Not applicable"
46.0,ACT3,Char,2.0,$PBAX.,Third activity in building,"'11' = 'Office/Professional'
'12' = 'Data center/Computer ""server farm""'
'13' = 'Warehouse/Storage'
'14' = 'Food sales or service'
'15' = 'Enclosed mall'
'16' = 'Retail (other than mall)'
'17' = 'Education'
'18' = 'Religious worship'
'19' = 'Public assembly'
'20' = 'Health care'
'21' = 'Service'
'22' = 'Lodging'
'23' = 'Public order and safety'
'24' = 'Residential'
'25' = 'Industrial'
'26' = 'Agricultural'
'27' = 'Vacant'
'28' = 'Other'
Missing = Not applicable"
47.0,ACT1PCT,Num,8.0,,Percent used for first activity,"1 - 100
Missing = Not applicable"
48.0,ACT2PCT,Num,8.0,,Percent used for second activity,"1 - 100
Missing = Not applicable"
49.0,ACT3PCT,Num,8.0,,Percent used for third activity,"1 - 100
Missing = Not applicable"
50.0,PBAPLUS,Char,2.0,$PBAPLUS.,More specific building activity,"'01' = 'Vacant'
'02' = 'Administrative/professional office'
'03' = 'Bank/other financial'
'04' = 'Government office'
'05' = 'Medical office (non-diagnostic)'
'06' = 'Mixed-use office'
'07' = 'Other office'
'08' = 'Laboratory'
'09' = 'Distribution/shipping center'
'10' = 'Non-refrigerated warehouse'
'11' = 'Self-storage'
'12' = 'Convenience store'
'13' = 'Convenience store with gas station'
'14' = 'Grocery store/food market'
'15' = 'Other food sales'
'16' = 'Fire station/police station'
'17' = 'Other public order and safety'
'18' = 'Medical office (diagnostic)'
'19' = 'Clinic/other outpatient health'
'20' = 'Refrigerated warehouse'
'21' = 'Religious worship'
'22' = 'Entertainment/culture'
'23' = 'Library'
'24' = 'Recreation'
'25' = 'Social/meeting'
'26' = 'Other public assembly'
'27' = 'College/university'
(continued in next cell)"
,,,,,"More specific building activity, continued","'28' = 'Elementary/middle school'
'29' = 'High school'
'30' = 'Preschool/daycare'
'31' = 'Other classroom education'
'32' = 'Fast food'
'33' = 'Restaurant/cafeteria'
'34' = 'Other food service'
'35' = 'Hospital/inpatient health'
'36' = 'Nursing home/assisted living'
'37' = 'Dormitory/fraternity/sorority'
'38' = 'Hotel'
'39' = 'Motel or inn'
'40' = 'Other lodging'
'41' = 'Vehicle dealership/showroom'
'42' = 'Retail store'
'43' = 'Other retail'
'44' = 'Post office/postal center'
'45' = 'Repair shop'
'46' = 'Vehicle service/repair shop'
'47' = 'Vehicle storage/maintenance'
'48' = 'Other service'
'49' = 'Other'
'50' = 'Strip shopping mall'
'51' = 'Enclosed mall'
'52' = 'Courthouse/probation office'
'53' = 'Bar/pub/lounge'"
51.0,DRYCL,Char,1.0,$DRYCLN.,Dry cleaning onsite,"'1' = 'In this building'
'2' = 'Off-site'
Missing = Not applicable"
52.0,VACANT,Char,1.0,$YESNO.,Completely vacant,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
53.0,CUBE,Char,1.0,$YESNO.,Open plan office space,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
54.0,CUBEC,Char,1.0,$CUBEC.,Percent open plan,"'1' = '1 to 20 percent'
'2' = '21 to 50 percent'
'3' = 'More than 50 percent'
Missing = Not applicable"
55.0,CUBELOC,Char,1.0,$CUBELC.,Location of open plan,"'1' = 'Near perimeter of building'
'2' = 'In core of building'
'3' = 'Entire building is open plan'
Missing = Not applicable"
56.0,RWSEAT,Num,8.0,COMMA6.,Religious worship seating capacity,"20 - 1,500
99,995 = More than 15,000
Missing = Not applicable"
57.0,PBSEAT,Num,8.0,COMMA6.,Assembly seating capacity,"0 - 15,000
999995 = More than 15,000
Missing = Not applicable"
58.0,EDSEAT,Num,8.0,COMMA6.,Number of classroom seats,"10 - 8,000
Missing = Not applicable"
59.0,FDSEAT,Num,8.0,COMMA6.,Food service seating capacity,"0 - 700
Missing = Not applicable"
60.0,HCBED,Num,8.0,COMMA6.,Licensed bed capacity,"25 - 250
9,995 = More than 250
Missing = Not applicable"
61.0,NRSBED,Num,8.0,COMMA6.,Licensed bed capacity,"16 - 250
9,995 = More than 250
Missing = Not applicable"
62.0,LODGRM,Num,8.0,COMMA6.,Number of guest rooms,"2 - 900
99,995 = More than 900
Missing = Not applicable"
63.0,COURT,Char,1.0,$YESNO.,Food court,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
64.0,FACIL,Char,1.0,$YESNO.,On a multibuilding complex,"'1' = 'Yes'
'2' = 'No'"
65.0,FEDFAC,Char,1.0,$YESNO.,Federal complex,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
66.0,FACACT,Char,2.0,$FACACT.,Type of complex,"'01' = 'College, university, or junior college'
'02' = 'Primary or secondary school [grades K-12]'
'03' = 'Other type of school'
'04' = 'Office complex'
'05' = 'Retail complex'
'06' = 'Storage complex'
'07' = 'Religious campus or complex'
'08' = 'Hospital or other health care complex'
'09' = 'Lodging or resort complex'
'10' = 'Post office complex'
'11' = 'Prison or correctional facility'
'12' = 'Other type of government complex'
'13' = 'Industrial complex'
'14' = 'Transportation complex such as a terminal, depot, or airport'
'15' = 'Other type of campus or complex'
Missing = Not applicable"
67.0,MANIND,Char,1.0,$YESNO.,Manufacturing industrial complex,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
68.0,PLANT,Char,1.0,$YESNO.,Central physical plant on complex,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
69.0,FACDST,Char,1.0,$YESNO.,Plant produces district steam,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
70.0,FACDHW,Char,1.0,$YESNO.,Plant produces district hot water,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
71.0,FACDCW,Char,1.0,$YESNO.,Plant produces district chilled water,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
72.0,FACELC,Char,1.0,$YESNO.,Plant produces electricity,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
73.0,BLDPLT,Char,1.0,$YESNO.,Central plant in building,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
74.0,GOVOWN,Char,1.0,$YESNO.,Government owned,"'1' = 'Yes'
'2' = 'No'"
75.0,GOVTYP,Char,1.0,$GOVTYP.,Type of government,"'1' = 'Federal'
'2' = 'State'
'3' = 'Local'
'7' ='Withheld to protect confidentiality'
Missing = Not applicable"
76.0,OWNTYPE,Char,2.0,$OWNTYPE.,Building owner,"'01' = 'Real estate investment trust (REIT)'
'02' = 'Other public or private corporation, partnership, LLC, or LLP'
'03' = 'Individual owner(s)'
'04' = 'Religious organization'
'05' = 'Non-profit organization (other than religious or government)'
'06' = 'Private academic institution'
'07' = 'Other non-government'
'08' = 'Federal government'
'09' = 'State government'
'10' = 'Local government'
'97' = Withheld to protect confidentiality'"
77.0,NOCC,Num,8.0,,Number of businesses,"0 - 200
995 = More than 200"
78.0,NOCCAT,Char,2.0,$NOCCAT.,Number of businesses category,"'01' = 'Zero'
'02' = 'One'
'03' = '2 to 5'
'04' = '6 to 10'
'05' = '11 to 20'
'06' = '21 to 50'
'07' = '51 to 100'
'08' = 'More than 100'"
79.0,OWNOCC,Char,1.0,$OWNOCC.,Owner occupied or leased to tenant(s),"'1' = 'Owner occupied'
'2' = 'Leased to tenant(s)'
'3' = 'Combination occupied and leased'
Missing = Not applicable"
80.0,OWNOPR,Char,1.0,$YESNO.,Owner responsible for operation and maintenance of energy systems,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
81.0,OWNPPR,Char,1.0,$YESNO.,Owner has purchasing power for energy-related equipment,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
82.0,NWNPPR,Char,1.0,$MGRTYP.,Nonowner with purchasing power for energy-related equipment,"'1' = 'Property management company or leasing agent'
'2' = 'Business owner or tenant'
'3' = 'Facilities personnel employed directly by the building owner'
'4' = 'Facilities or energy management consultant'
'5' = 'Volunteer member of the organization'
'6' = 'Manager with general supervisory duties'
'7' = 'Other'
Missing = Not applicable"
83.0,NWNOPR,Char,1.0,$MGRTYP.,Nonowner responsible for operation and maintenance of energy systems,"'1' = 'Property management company or leasing agent'
'2' = 'Business owner or tenant'
'3' = 'Facilities personnel employed directly by the building owner'
'4' = 'Facilities or energy management consultant'
'5' = 'Volunteer member of the organization'
'6' = 'Manager with general supervisory duties'
'7' = 'Other'
Missing = Not applicable"
84.0,WHOPPR,Char,1.0,$OPERTR.,Who has purchasing power,"'1' = 'Building owner'
'2' = 'Party responsible for building operations'
'3' = 'Both (either they have equal input, or are the same person)'
'4' = 'Other'
Missing = Not applicable"
85.0,MONUSE,Num,8.0,,Months in use,0 - 12
86.0,OCCUPYP,Num,8.0,,Percent occupancy,"0 - 100
Missing = Not applicable"
87.0,LODOCCP,Num,8.0,,Lodging room percent occupancy,"0 - 100
Missing = Not applicable"
88.0,OPEN24,Char,1.0,$YESNO.,Open 24 hours a day,"'1' = 'Yes'
'2' = 'No'"
89.0,OPNMF,Char,1.0,$DAYSOPN.,Open during week,"'1' = 'All five days'
'2' = 'Some of these days'
'3' = 'Not open at all Monday through Friday'"
90.0,OPNWE,Char,1.0,$YESNO.,Open on weekend,"'1' = 'Yes'
'2' = 'No'"
91.0,WKHRS,Num,8.0,,Total hours open per week,0 - 168
92.0,WKHRSC,Char,1.0,$HRSCAT.,Weekly hours category,"'1' = 'No hours'
'2' = '1 to 39'
'3' = '40 to 48'
'4' = '49 to 60'
'5' = '61 to 84'
'6' = '85 to 167'
'7' = '168'"
93.0,NWKER,Num,8.0,COMMA6.,Number of employees,"0 - 6,500"
94.0,NWKERC,Char,2.0,$WORKCAT.,Number of employees category,"'01' = 'None'
'02' = '1 to 4'
'03' = '5 to 9'
'04' = '10 to 19'
'05' = '20 to 49'
'06' = '50 to 99'
'07' = '100 to 249'
'08' = '250 to 499'
'09' = '500 to 999'
'10' = '1,000 to 2,499'
'11' = '2,500 to 4,999'
'12' = '5,000 or More'"
95.0,HT1,Char,1.0,$YESNO.,Energy used for main heating,"'1' = 'Yes'
'2' = 'No'"
96.0,HT2,Char,1.0,$YESNO.,Energy used for secondary heating,"'1' = 'Yes'
'2' = 'No'"
97.0,COOL,Char,1.0,$YESNO.,Energy used for cooling,"'1' = 'Yes'
'2' = 'No'"
98.0,WATR,Char,1.0,$YESNO.,Energy used for water heating,"'1' = 'Yes'
'2' = 'No'"
99.0,COOK,Char,1.0,$YESNO.,Energy used for cooking,"'1' = 'Yes'
'2' = 'No'"
100.0,MANU,Char,1.0,$YESNO.,Energy used for manufacturing,"'1' = 'Yes'
'2' = 'No'"
101.0,CAPGEN,Char,1.0,$YESNO.,Electricity generation capability,"'1' = 'Yes'
'2' = 'No'"
102.0,GENR,Char,1.0,$YESNO.,Energy used for electricity generation,"'1' = 'Yes'
'2' = 'No'"
103.0,ANYEGY,Char,1.0,$ANYEGY.,Any energy used,"1' = 'Yes, some energy was used in 2012'
'2' = 'No, no energy was used'"
104.0,ELUSED,Char,1.0,$YESNO.,Electricity used,"'1' = 'Yes'
'2' = 'No'"
105.0,NGUSED,Char,1.0,$YESNO.,Natural gas used,"'1' = 'Yes'
'2' = 'No'"
106.0,FKUSED,Char,1.0,$YESNO.,Fuel oil/diesel/kerosene used,"'1' = 'Yes'
'2' = 'No'"
107.0,FKTYPE,Char,1.0,$FKTYP.,"Specify fuel oil, diesel, or kerosene","'1' = 'Fuel oil'
'2' = 'Diesel'
'3' = 'Kerosene'
'4' = 'Fuel oil and diesel'
'5' = 'Fuel oil and kerosene'
'6' = 'Diesel and kerosene'
'7' = 'Fuel oil, diesel, and kerosene'
'9' ='Don't know'"
108.0,PRUSED,Char,1.0,$YESNO.,Bottled gas/LPG/propane used,"'1' = 'Yes'
'2' = 'No'"
109.0,STUSED,Char,1.0,$YESNO.,District steam used,"'1' = 'Yes'
'2' = 'No'"
110.0,HWUSED,Char,1.0,$YESNO.,District hot water used,"'1' = 'Yes'
'2' = 'No'"
111.0,CWUSED,Char,1.0,$YESNO.,District chilled water used,"'1' = 'Yes'
'2' = 'No'"
112.0,WOUSED,Char,1.0,$YESNO.,Wood used,"'1' = 'Yes'
'2' = 'No'"
113.0,COUSED,Char,1.0,$YESNO.,Coal used,"'1' = 'Yes'
'2' = 'No'"
114.0,SOUSED,Char,1.0,$YESNO.,Solar used,"'1' = 'Yes'
'2' = 'No'"
115.0,OTUSED,Char,1.0,$YESNO.,Other energy source used,"'1' = 'Yes'
'2' = 'No'"
116.0,ELHT1,Char,1.0,$YESNO.,Electricity used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
117.0,NGHT1,Char,1.0,$YESNO.,Natural gas used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
118.0,FKHT1,Char,1.0,$YESNO.,Fuel oil used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
119.0,PRHT1,Char,1.0,$YESNO.,Propane used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
120.0,STHT1,Char,1.0,$YESNO.,District steam used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
121.0,HWHT1,Char,1.0,$YESNO.,District hot water used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
122.0,WOHT1,Char,1.0,$YESNO.,Wood used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
123.0,COHT1,Char,1.0,$YESNO.,Coal used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
124.0,SOHT1,Char,1.0,$YESNO.,Solar used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
125.0,OTHT1,Char,1.0,$YESNO.,Other source used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
126.0,ELHT2,Char,1.0,$YESNO.,Electricity used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
127.0,NGHT2,Char,1.0,$YESNO.,Natural gas used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
128.0,FKHT2,Char,1.0,$YESNO.,Fuel oil used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
129.0,PRHT2,Char,1.0,$YESNO.,Propane used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
130.0,STHT2,Char,1.0,$YESNO.,District steam used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
131.0,HWHT2,Char,1.0,$YESNO.,District hot water used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
132.0,WOHT2,Char,1.0,$YESNO.,Wood used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
133.0,COHT2,Char,1.0,$YESNO.,Coal used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
134.0,SOHT2,Char,1.0,$YESNO.,Solar used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
135.0,OTHT2,Char,1.0,$YESNO.,Other source used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
136.0,HEATP,Num,8.0,,Percent heated,"0 - 100
Missing = Not applicable"
137.0,HTLS50,Char,1.0,$YESNO.,Heated to less than 50 degrees,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
138.0,FURNAC,Char,1.0,$YESNO.,Furnaces that heat air directly,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
139.0,PKGHT,Char,1.0,$YESNO.,Packaged heating units,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
140.0,BOILER,Char,1.0,$YESNO.,Boilers inside the building,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
141.0,STHW,Char,1.0,$YESNO.,District steam or hot water piped in,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
142.0,HTPMPH,Char,1.0,$YESNO.,Heat pumps for heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
143.0,SLFCON,Char,1.0,$YESNO.,Individual space heaters,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
144.0,OTHTEQ,Char,1.0,$YESNO.,Other heating equipment,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
145.0,FURNP,Num,8.0,,Percent heated by furnace,"1 - 100
Missing = Not applicable"
146.0,PKGHP,Num,8.0,,Percent heated by packaged heating,"1 - 100
Missing = Not applicable"
147.0,BOILP,Num,8.0,,Percent heated by boiler,"1 - 100
Missing = Not applicable"
148.0,STHWP,Num,8.0,,Percent heated by dist steam/hot water,"1 - 100
Missing = Not applicable"
149.0,HTPHP,Num,8.0,,Percent heated by heat pumps,"1 - 100
Missing = Not applicable"
150.0,SLFCNP,Num,8.0,,Percent heated by individual space heaters,"1 - 100
Missing = Not applicable"
151.0,OTHTP,Num,8.0,,Percent heated by other heating equipment,"1 - 100
Missing = Not applicable"
152.0,MAINHT,Char,1.0,$HTEQP.,Main heating equipment,"'1' = 'Furnaces that heat air directly, without using steam or hot water'
'2' = 'Packaged central unit (roof mounted)'
'3' = 'Boilers inside (or adjacent to) the building that produce steam or hot water'
'4' = 'District steam or hot water piped in from outside the building'
'5' = 'Heat pumps (other than components of a packaged unit)'
'6' = 'Individual space heaters (other than heat pumps)'
'7' = 'Other heating equipment'
Missing = Not applicable"
153.0,NWMNHT,Char,1.0,$YESNO.,Main heating replaced,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
154.0,PKGHTTYP,Char,1.0,$PKGTYP.,Type of packaged heating,"'1' = 'Factory-assembled unitary packaged unit'
'2' = 'Custom built-up packaged unit'
'3' = 'Both factory-assembled and custom built-up packaged units'
Missing = Not applicable"
155.0,PKGFURN,Char,1.0,$YESNO.,Packaged heating component: Furnace,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
156.0,PKGHTP,Char,1.0,$YESNO.,Packaged heating component: Heat pump,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
157.0,PKGCOIL,Char,1.0,$YESNO.,Packaged heating component: Heating coil,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
158.0,PKGPIU,Char,1.0,$YESNO.,Packaged heating component: Powered induction unit,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
159.0,PKGDUCT,Char,1.0,$YESNO.,Packaged heating component: Duct reheat,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
160.0,BLRRAD,Char,1.0,$YESNO.,Boiler system: Radiators,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
161.0,BLRFNCL,Char,1.0,$YESNO.,Boiler system: Fan coil units in rooms,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
162.0,BLRINDC,Char,1.0,$YESNO.,Boiler system: Induction units,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
163.0,BLRLOOP,Char,1.0,$YESNO.,Boiler system: Water loop heat pump,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
164.0,BLRAIR,Char,1.0,$YESNO.,Boiler system: Central air handler,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
