File order,"Variable
name",Variable type,Length,Label,Values/Format codes
16,ATTIC,Num,8,Attic,"1=Yes
2=No"
17,ELEVTR,Num,8,Elevators,"1=Yes
2=No
Missing=Not applicable"
18,NELVTR,Num,8,Number of elevators,"1 - 30
995=More than 30
Missing=Not applicable"
19,ESCLTR,Num,8,Escalators,"1=Yes
2=No
Missing=Not applicable"
20,NESLTR,Num,8,Number of escalators,"1 - 10
995=More than 10
Missing=Not applicable"
21,YRCONC,Num,8,Year of construction category,"2=Before 1946
3=1946 to 1959
4=1960 to 1969
5=1970 to 1979
6=1980 to 1989
7=1990 to 1999
8=2000 to 2012
9=2013 to 2018"
22,RENOV,Num,8,Renovations,"1=Yes
2=No
Missing=Not applicable"
23,RENCOS,Num,8,Cosmetic improvements,"1=Yes
2=No
Missing=Not applicable"
24,RENADD,Num,8,Addition or annex,"1=Yes
2=No
Missing=Not applicable"
25,RENRDC,Num,8,Reduction of floorspace,"1=Yes
2=No
Missing=Not applicable"
26,RENINT,Num,8,Interior wall re-configuration,"1=Yes
2=No
Missing=Not applicable"
27,RENRFF,Num,8,Roof replacement,"1=Yes
2=No
Missing=Not applicable"
28,RENWIN,Num,8,Window replacement,"1=Yes
2=No
Missing=Not applicable"
29,RENHVC,Num,8,HVAC equipment upgrade,"1=Yes
2=No
Missing=Not applicable"
30,RENLGT,Num,8,Lighting upgrade,"1=Yes
2=No
Missing=Not applicable"
31,RENPLB,Num,8,Plumbing system upgrade,"1=Yes
2=No
Missing=Not applicable"
32,RENELC,Num,8,Electrical upgrade,"1=Yes
2=No
Missing=Not applicable"
33,RENINS,Num,8,Insulation upgrade,"1=Yes
2=No
Missing=Not applicable"
34,RENSAF,Num,8,"Fire, safety, or security upgrade","1=Yes
2=No
Missing=Not applicable"
35,RENSTR,Num,8,Structural upgrade,"1=Yes
2=No
Missing=Not applicable"
36,RENOTH,Num,8,Other renovation,"1=Yes
2=No
Missing=Not applicable"
37,ONEACT,Num,8,One activity in building,"1=Yes
2=No"
38,DRYCL,Num,8,Dry cleaning onsite,"1=In this building
2=Off-site
Missing=Not applicable"
39,VACANT,Num,8,Completely vacant,"1=Yes
2=No
Missing=Not applicable"
40,PBAPLUS,Num,8,More specific building activity,"1=Vacant
2=Administrative/professional office
3=Bank/other financial
4=Government office
5=Medical office (non-diagnostic)
6=Mixed-use office
7=Other office
8=Laboratory
9=Distribution/shipping center
10=Non-refrigerated warehouse
11=Public rental storage units
12=Convenience store (w/ or w/out gas station)
14=Grocery store/food market
15=Other food sales
16=Fire station/police station
17=Other public order and safety
18=Medical office (diagnostic)
19=Clinic/other outpatient health
20=Refrigerated warehouse
21=Religious worship
22=Entertainment/culture
23=Library
24=Recreation
25=Social/meeting
26=Other public assembly 
27=College/university 
28=Elementary school 
29=High school 30=Preschool/daycare 
31=Other classroom education 
32=Fast food 33=Restaurant/cafeteria 
34=Other food service 
35=Hospital/inpatient health 
36=Nursing home/assisted living 
37=Dormitory/fraternity/sorority 
38=Hotel/resort 
39=Motel/inn/bed and breakfast 
40=Other lodging 
42=Retail store 
43=Other retail 
44=Post office/postal center 
46=Vehicle service/repair shop 
47=Vehicle storage/maintenance 
48=Other service
49=Other 
50=Strip shopping mall 
51=Enclosed mall 
52=Courthouse/probation office 
54=Middle/junior high school 
55=Multi-grade school (any K-12)"
41,RWSEAT,Num,8,Religious worship seating capacity,"25 - 2,000
99995=More than 2,000
Missing=Not applicable"
42,PBSEAT,Num,8,Assembly seating capacity,"0 - 15,000
999995=More than 15,000
Missing=Not applicable"
43,EDSEAT,Num,8,Number of classroom seats,"12 - 10,000
Missing=Not applicable"
44,FDSEAT,Num,8,Food service seating capacity,"0 - 1,000
Missing=Not applicable"
45,DRVTHRU,Num,8,Drive-thru window,"1=Yes
2=No
5=Don't know
Missing=Not applicable"
46,HCBED,Num,8,Licensed inpatient beds,"15 - 250
9995=More than 250
Missing=Not applicable"
47,NRSBED,Num,8,Licensed nursing beds,"15 - 250
9995=More than 250
Missing=Not applicable"
48,LODGRM,Num,8,Number of guest rooms,"2 - 1,000
99995=More than 1,000
Missing=Not applicable"
49,COURT,Num,8,Food court,"1=Yes
2=No
Missing=Not applicable"
50,FACIL,Num,8,On a multibuilding complex,"1=Yes
2=No"
51,FEDFAC,Num,8,Federal complex,"1=Yes
2=No
Missing=Not applicable"
52,FACACT,Num,8,Type of complex,"1=College, university, or junior college
2=Primary or secondary school [grades K-12]
3=Other type of school
4=Office complex
5=Retail complex
6=Storage or distribution complex
7=Religious campus or complex
8=Hospital or other health care complex
9=Lodging or resort complex
10=Post office complex
11=Prison or correctional facility
12=Other type of government complex
13=Industrial complex
14=Transportation complex such as a terminal, depot, or airport
15=Other type of campus or complex
Missing=Not applicable"
53,MANIND,Num,8,Manufacturing industrial,"1=Yes
2=No
Missing=Not applicable"
54,PLANT,Num,8,Central physical plant,"1=Yes
2=No
Missing=Not applicable"
55,FACDST,Num,8,Plant produces district steam,"1=Yes
2=No
Missing=Not applicable"
56,FACDHW,Num,8,Plant produces district hot water,"1=Yes
2=No
Missing=Not applicable"
57,FACDCW,Num,8,Plant produces district chilled water,"1=Yes
2=No
Missing=Not applicable"
58,FACELC,Num,8,Plant produces electricity,"1=Yes
2=No
Missing=Not applicable"
59,BLDPLT,Num,8,Central plant in building,"1=In this building
2=In another building
Missing=Not applicable"
60,GOVOWN,Num,8,Government owned,"1=Yes
2=No"
61,GOVTYP,Num,8,Type of government,"1=Federal
2=State
3=Local
7=Withheld to protect confidentiality
Missing=Not applicable"
62,OWNTYPE,Num,8,Building owner,"1=Real estate investment trust (REIT)
2=Other public or private corporation, partnership, LLC, or LLP
3=Individual owner(s)
4=Religious organization
5=Non-profit organization (other than religious or government)
6=Private academic institution
7=Other
8=Federal government
9=State government
10=Local government
97=Withheld to protect confidentiality"
63,NOCC,Num,8,Number of businesses,"0 - 200
996=Withheld to protect confidentiality"
64,NOCCAT,Num,8,Number of businesses category,"1=Zero
2=One
3=2 to 5
4=6 to 10
5=11 to 20
6=21 to 50
7=51 to 100
8=More than 100
996=Withheld to protect confidentiality"
65,OWNOCC,Num,8,Owner occupied or leased to tenant(s),"1=Yes
2=No
Missing=Not applicable"
66,OWNOPR,Num,8,Owner operates,"1=Yes
2=No"
67,OWNPPR,Num,8,Owner has purchasing power,"1=Yes
2=No
Missing=Not applicable"
68,NWNPPR,Num,8,Nonowner with purchasing power,"1=Property management company or leasing agent
2=Business owner or tenant
3=Facilities personnel employed directly by the building owner
4=Facilities or energy management consultant
5=Volunteer member of the organization
6=Manager with general supervisory duties
7=Other
Missing=Not applicable"
69,NWNOPR,Num,8,Nonowner operator,"1=Property management company or leasing agent
2=Business owner or tenant
3=Facilities personnel employed directly by the building owner
4=Facilities or energy management consultant
5=Volunteer member of the organization
6=Manager with general supervisory duties
7=Other
Missing=Not applicable"
70,WHOPPR,Num,8,Who has purchasing power,"1=Building owner
2=Party responsible for operation of energy systems
3=Both (either they have equal input, or are the same person)
4=Other
Missing=Not applicable"
71,MONUSE,Num,8,Months in use,0 - 12
72,OCCUPYP,Num,8,Percent occupancy,"0 - 100
Missing=Not applicable"
73,LODOCCP,Num,8,Lodging room percent occupancy,"0 - 100
Missing=Not applicable"
74,OPEN24,Num,8,Open 24 hours a day,"1=Yes
2=No"
75,OPNMF,Num,8,Open during week,"1=All five days
2=Some of these days
3=Not open at all Monday through Friday"
76,OPNWE,Num,8,Open on weekend,"1=Yes
2=No"
77,WKHRS,Num,8,Total hours open per week,0 - 168
78,WKHRSC,Num,8,Weekly hours category,"1=No hours
2=1 to 39
3=40 to 48
4=49 to 60
5=61 to 84
6=85 to 167
7=168"
79,NWKER,Num,8,Number of employees,"0 - 6,500"
80,NWKERC,Num,8,Number of employees category,"1=None
2=1 to 4
3=5 to 9
4=10 to 19
5=20 to 49
6=50 to 99
7=100 to 249
8=250 to 499
9=500 to 999
10=1,000 to 2,499
11=2,500 to 4,999
12=5,000 or More"
81,HT1,Num,8,Energy used for main heating,"1=Yes
2=No"
82,HT2,Num,8,Energy used for secondary heating,"1=Yes
2=No"
83,COOL,Num,8,Energy used for cooling,"1=Yes
2=No"
84,WATR,Num,8,Energy used for water heating,"1=Yes
2=No"
85,COOK,Num,8,Energy used for cooking,"1=Yes
2=No"
86,MANU,Num,8,Energy used for manufacturing,"1=Yes
2=No"
87,EGYUSED,Num,8,Energy used in building,"1=Yes
2=No"
88,ELUSED,Num,8,Electricity used,"1=Yes
2=No"
89,NGUSED,Num,8,Natural gas used,"1=Yes
2=No"
90,FKUSED,Num,8,Fuel oil/diesel/kerosene used,"1=Yes
2=No"
91,PRUSED,Num,8,Bottled gas/LPG/propane used,"1=Yes
2=No"
92,STUSED,Num,8,District steam used,"1=Yes
2=No"
93,HWUSED,Num,8,District hot water used,"1=Yes
2=No"
94,CWUSED,Num,8,District chilled water used,"1=Yes
2=No"
95,WOUSED,Num,8,Wood used,"1=Yes
2=No"
96,COUSED,Num,8,Coal used,"1=Yes
2=No"
97,SOUSED,Num,8,Solar used,"1=Yes
2=No"
98,OTUSED,Num,8,Other energy source used,"1=Yes
2=No"
99,FKTYPE,Num,8,"Specify fuel oil, diesel, or kerosene","1=Fuel oil
2=Diesel
3=Kerosene
4=Fuel oil and diesel
5=Fuel oil and kerosene
6=Diesel and kerosene
7=Fuel oil, diesel, and kerosene
Missing=Not applicable"
100,SOPANEL,Num,8,Solar panels used to generate electricity,"1=Yes
2=No
Missing=Not applicable"
101,SOTHERM,Num,8,Solar thermal energy used,"1=Yes
2=No
Missing=Not applicable"
102,HEATP,Num,8,Percent heated,"0 - 100
Missing=Not applicable"
103,HTLS50,Num,8,Heated to less than 50 degrees,"1=Yes
2=No
Missing=Not applicable"
104,ELHT1,Num,8,Electricity used for main heating,"1=Yes
2=No"
105,NGHT1,Num,8,Natural gas used for main heating,"1=Yes
2=No"
106,FKHT1,Num,8,Fuel oil used for main heating,"1=Yes
2=No"
107,PRHT1,Num,8,Propane used for main heating,"1=Yes
2=No"
108,STHT1,Num,8,District steam used for main heating,"1=Yes
2=No"
109,HWHT1,Num,8,District hot water used for main heating,"1=Yes
2=No"
110,WOHT1,Num,8,Wood used for main heating,"1=Yes
2=No"
111,COHT1,Num,8,Coal used for main heating,"1=Yes
2=No"
112,SOHT1,Num,8,Solar used for main heating,"1=Yes
2=No"
113,OTHT1,Num,8,Other source used for main heating,"1=Yes
2=No"
114,ELHT2,Num,8,Electricity used for secondary heating,"1=Yes
2=No"
115,NGHT2,Num,8,Natural gas used for secondary heating,"1=Yes
2=No"
116,FKHT2,Num,8,Fuel oil used for secondary heating,"1=Yes
2=No"
117,PRHT2,Num,8,Propane used for secondary heating,"1=Yes
2=No"
118,STHT2,Num,8,District steam used for secondary heating,"1=Yes
2=No"
119,HWHT2,Num,8,District hot water used for secondary heating,"1=Yes
2=No"
120,WOHT2,Num,8,Wood used for secondary heating,"1=Yes
2=No"
121,COHT2,Num,8,Coal used for secondary heating,"1=Yes
2=No"
122,SOHT2,Num,8,Solar used for secondary heating,"1=Yes
2=No"
123,OTHT2,Num,8,Other source used for secondary heating,"1=Yes
2=No"
124,PKGHT,Num,8,Packaged central units used for heating,"1=Yes
2=No
Missing=Not applicable"
125,FURNAC,Num,8,Furnaces used for heating,"1=Yes
2=No
Missing=Not applicable"
126,SLFCON,Num,8,Individual space heaters used for heating,"1=Yes
2=No
Missing=Not applicable"
127,BOILER,Num,8,Boilers used for heating,"1=Yes
2=No
Missing=Not applicable"
128,HTPMPH,Num,8,Heat pumps used for heating,"1=Yes
2=No
Missing=Not applicable"
129,STHW,Num,8,District steam or hot water heating system used for heating,"1=Yes
2=No
Missing=Not applicable"
130,REHEAT,Num,8,Duct reheat used for heating,"1=Yes
2=No
Missing=Not applicable"
131,FIREPLC,Num,8,Fireplaces used for heating,"1=Yes
2=No
Missing=Not applicable"
132,OTHTEQ,Num,8,Other type of equipment used for heating,"1=Yes
2=No
Missing=Not applicable"
133,PKGHT_EL,Num,8,Packaged central units powered by electricity,"1=Yes
2=No
Missing=Not applicable"
134,BOILER_EL,Num,8,Boilers powered by electricity,"1=Yes
2=No
Missing=Not applicable"
135,HTPMPH_EL,Num,8,Heat pumps powered by electricity,"1=Yes
2=No
Missing=Not applicable"
136,FURNAC_EL,Num,8,Furnaces  powered by electricity,"1=Yes
2=No
Missing=Not applicable"
137,SLFCON_EL,Num,8,Individual space heaters powered by electricity,"1=Yes
2=No
Missing=Not applicable"
138,FIREPLC_EL,Num,8,Fireplaces powered by electricity,"1=Yes
2=No
Missing=Not applicable"
139,REHEAT_EL,Num,8,Duct reheat powered by electricity,"1=Yes
2=No
Missing=Not applicable"
140,OTHTEQ_EL,Num,8,Other heating equipment powered by electricity,"1=Yes
2=No
Missing=Not applicable"
141,PKGHT_NG,Num,8,Packaged central units fueled by natural gas,"1=Yes
2=No
Missing=Not applicable"
142,BOILER_NG,Num,8,Boilers fueled by natural gas,"1=Yes
2=No
Missing=Not applicable"
143,HTPMPH_NG,Num,8,Heat pumps fueled by natural gas,"1=Yes
2=No
Missing=Not applicable"
144,FURNAC_NG,Num,8,Furnaces fueled by natural gas,"1=Yes
2=No
Missing=Not applicable"
145,SLFCON_NG,Num,8,Individual space heaters fueled by natural gas,"1=Yes
2=No
Missing=Not applicable"
146,FIREPLC_NG,Num,8,Fireplaces fueled by natural gas,"1=Yes
2=No
Missing=Not applicable"
147,OTHTEQ_NG,Num,8,Other heating equipment fueled by natural gas,"1=Yes
2=No
Missing=Not applicable"
148,BOILER_FK,Num,8,Boilers fueled by fuel oil,"1=Yes
2=No
Missing=Not applicable"
149,FURNAC_FK,Num,8,Furnaces fueled by fuel oil,"1=Yes
2=No
Missing=Not applicable"
150,SLFCON_FK,Num,8,Individual space heaters fueled by fuel oil,"1=Yes
2=No
Missing=Not applicable"
151,OTHTEQ_FK,Num,8,Other heating equipment fueled by fuel oil,"1=Yes
2=No
Missing=Not applicable"
152,PKGHT_PR,Num,8,Packaged central units fueled by propane,"1=Yes
2=No
Missing=Not applicable"
153,BOILER_PR,Num,8,Boilers fueled by propane,"1=Yes
2=No
Missing=Not applicable"
154,HTPMPH_PR,Num,8,Heat pumps fueled by propane,"1=Yes
2=No
Missing=Not applicable"
155,FURNAC_PR,Num,8,Furnaces fueled by propane,"1=Yes
2=No
Missing=Not applicable"
156,SLFCON_PR,Num,8,Individual space heaters fueled by propane,"1=Yes
2=No
Missing=Not applicable"
157,FIREPLC_PR,Num,8,Fireplaces fueled by propane,"1=Yes
2=No
Missing=Not applicable"
158,OTHTEQ_PR,Num,8,Other heating equipment fueled by propane,"1=Yes
2=No
Missing=Not applicable"
159,DIST_ST,Num,8,District steam system,"1=Yes
2=No
Missing=Not applicable"
160,AIRHAND_ST,Num,8,Central air handlers for steam distribution,"1=Yes
2=No
Missing=Not applicable"
161,FANCOIL_ST,Num,8,Fan coil or induction units for steam distribution,"1=Yes
2=No
Missing=Not applicable"
162,REHEAT_ST,Num,8,Duct reheat for steam distribution,"1=Yes
2=No
Missing=Not applicable"
163,RADIATR_ST,Num,8,Radiators for steam distribution,"1=Yes
2=No
Missing=Not applicable"
164,RADFLR_ST,Num,8,Radiant floor or ceiling panels for steam distribution,"1=Yes
2=No
Missing=Not applicable"
165,WTLOOP_ST,Num,8,Water loop heat pump for steam distribution,"1=Yes
2=No
Missing=Not applicable"
166,OTDIST_ST,Num,8,Other type of steam distribution,"1=Yes
2=No
Missing=Not applicable"
167,DIST_HW,Num,8,District hot water system,"1=Yes
2=No
Missing=Not applicable"
168,AIRHAND_HW,Num,8,Central air handlers for hot water distribution,"1=Yes
2=No
Missing=Not applicable"
169,FANCOIL_HW,Num,8,Fan coil or induction units for hot water distribution,"1=Yes
2=No
Missing=Not applicable"
170,REHEAT_HW,Num,8,Duct reheat for hot water distribution,"1=Yes
2=No
Missing=Not applicable"
171,RADIATR_HW,Num,8,Radiators for hot water distribution,"1=Yes
2=No
Missing=Not applicable"
172,RADFLR_HW,Num,8,Radiant floor or ceiling panels for hot water distribution,"1=Yes
2=No
Missing=Not applicable"
173,WTLOOP_HW,Num,8,Water loop heat pump for hot water distribution,"1=Yes
2=No
Missing=Not applicable"
174,OTDIST_HW,Num,8,Other type of hot water distribution,"1=Yes
2=No
Missing=Not applicable"
175,FURNAC_WO,Num,8,Furnaces fueled by wood,"1=Yes
2=No
Missing=Not applicable"
176,SLFCON_WO,Num,8,Individual space heaters fueled by wood,"1=Yes
2=No
Missing=Not applicable"
177,FIREPLC_WO,Num,8,Fireplaces fueled by wood,"1=Yes
2=No
Missing=Not applicable"
178,OTHTEQ_WO,Num,8,Other heating equipment fueled by wood,"1=Yes
2=No
Missing=Not applicable"
179,BOILER_CO,Num,8,Boilers fueled by coal,"1=Yes
2=No
Missing=Not applicable"
180,FURNAC_CO,Num,8,Furnaces fueled by coal,"1=Yes
2=No
Missing=Not applicable"
181,OTHTEQ_CO,Num,8,Other heating equipment fueled by coal,"1=Yes
2=No
Missing=Not applicable"
182,SOTHERM_SO,Num,8,Solar thermal heating equipment,"1=Yes
2=No
Missing=Not applicable"
183,PKGHT_OT,Num,8,Packaged central units fueled by other source,"1=Yes
2=No
Missing=Not applicable"
184,BOILER_OT,Num,8,Boilers fueled by other source,"1=Yes
2=No
Missing=Not applicable"
185,FURNAC_OT,Num,8,Furnaces fueled by other source,"1=Yes
2=No
Missing=Not applicable"
186,SLFCON_OT,Num,8,Individual space heaters fueled by other source,"1=Yes
2=No
Missing=Not applicable"
187,OTHTEQ_OT,Num,8,Other heating equipment fueled by other source,"1=Yes
2=No
Missing=Not applicable"
188,BLRAIR_HT1,Num,8,Central air handlers for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
189,BLRFNCL_HT1,Num,8,Fan coil or induction units for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
190,BLRDUCT_HT1,Num,8,Duct reheat for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
191,BLRRAD_HT1,Num,8,Radiators for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
192,BLRRDFL_HT1,Num,8,Radiant floor or ceiling panels for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
193,BLRWTLP_HT1,Num,8,Water loop heat pump for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
194,BLROTD_HT1,Num,8,Other type of boiler distribution,"1=Yes
2=No
Missing=Not applicable"
195,BLRAIR_EL2,Num,8,Central air handlers for electric boiler distribution,"1=Yes
2=No
Missing=Not applicable"
196,BLRFNCL_EL2,Num,8,Fan coil or induction units for electric boiler distribution,"1=Yes
2=No
Missing=Not applicable"
197,BLRDUCT_EL2,Num,8,Duct reheat for electric boiler distribution,"1=Yes
2=No
Missing=Not applicable"
198,BLRRAD_EL2,Num,8,Radiators for electric boiler distribution,"1=Yes
2=No
Missing=Not applicable"
199,BLRRDFL_EL2,Num,8,Radiant floor or ceiling panels for electric boiler distribution,"1=Yes
2=No
Missing=Not applicable"
200,BLRWTLP_EL2,Num,8,Water loop heat pump for electric boiler distribution,"1=Yes
2=No
Missing=Not applicable"
201,BLROTD_EL2,Num,8,Other type of electric boiler distribution,"1=Yes
2=No
Missing=Not applicable"
202,BLRAIR_NG2,Num,8,Central air handlers for nat gas boiler distribution,"1=Yes
2=No
Missing=Not applicable"
203,BLRFNCL_NG2,Num,8,Fan coil or induction units for nat gas boiler distribution,"1=Yes
2=No
Missing=Not applicable"
204,BLRDUCT_NG2,Num,8,Duct reheat for nat gas boiler distribution,"1=Yes
2=No
Missing=Not applicable"
205,BLRRAD_NG2,Num,8,Radiators for nat gas boiler distribution,"1=Yes
2=No
Missing=Not applicable"
206,BLRRDFL_NG2,Num,8,Radiant floor or ceiling panels for nat gas boiler distribution,"1=Yes
2=No
Missing=Not applicable"
207,BLRWTLP_NG2,Num,8,Water loop heat pump for nat gas boiler distribution,"1=Yes
2=No
Missing=Not applicable"
208,BLROTD_NG2,Num,8,Other type of nat gas boiler distribution,"1=Yes
2=No
Missing=Not applicable"
209,BLRAIR_FK2,Num,8,Central air handlers for fuel oil boiler distribution,"1=Yes
2=No
Missing=Not applicable"
210,BLRFNCL_FK2,Num,8,Fan coil or induction units for fuel oil boiler distribution,"1=Yes
2=No
Missing=Not applicable"
211,BLRDUCT_FK2,Num,8,Duct reheat for fuel oil boiler distribution,"1=Yes
2=No
Missing=Not applicable"
212,BLRRAD_FK2,Num,8,Radiators for fuel oil boiler distribution,"1=Yes
2=No
Missing=Not applicable"
213,BLRRDFL_FK2,Num,8,Radiant floor or ceiling panels for fuel oil boiler distribution,"1=Yes
2=No
Missing=Not applicable"
214,BLRWTLP_FK2,Num,8,Water loop heat pump for fuel oil boiler distribution,"1=Yes
2=No
Missing=Not applicable"
215,BLROTD_FK2,Num,8,Other type of fuel oil boiler distribution,"1=Yes
2=No
Missing=Not applicable"
216,BLRAIR_PR2,Num,8,Central air handlers for propane boiler distribution,"1=Yes
2=No
Missing=Not applicable"
217,BLRFNCL_PR2,Num,8,Fan coil or induction units for propane boiler distribution,"1=Yes
2=No
Missing=Not applicable"
218,BLRDUCT_PR2,Num,8,Duct reheat for propane boiler distribution,"1=Yes
2=No
Missing=Not applicable"
219,BLRRAD_PR2,Num,8,Radiators for propane boiler distribution,"1=Yes
2=No
Missing=Not applicable"
220,BLRRDFL_PR2,Num,8,Radiant floor or ceiling panels for propane boiler distribution,"1=Yes
2=No
Missing=Not applicable"
221,BLRWTLP_PR2,Num,8,Water loop heat pump for propane boiler distribution,"1=Yes
2=No
Missing=Not applicable"
222,BLROTD_PR2,Num,8,Other type of propane boiler distribution,"1=Yes
2=No
Missing=Not applicable"
223,BLRAIR_CO2,Num,8,Central air handlers for coal boiler distribution,"1=Yes
2=No
Missing=Not applicable"
224,BLRFNCL_CO2,Num,8,Fan coil or induction units for coal boiler distribution,"1=Yes
2=No
Missing=Not applicable"
225,BLRDUCT_CO2,Num,8,Duct reheat for coal boiler distribution,"1=Yes
2=No
Missing=Not applicable"
226,BLRRAD_CO2,Num,8,Radiators for coal boiler distribution,"1=Yes
2=No
Missing=Not applicable"
227,BLRRDFL_CO2,Num,8,Radiant floor or ceiling panels for coal boiler distribution,"1=Yes
2=No
Missing=Not applicable"
228,BLRWTLP_CO2,Num,8,Water loop heat pump for coal boiler distribution,"1=Yes
2=No
Missing=Not applicable"
229,BLROTD_CO2,Num,8,Other type of coal boiler distribution,"1=Yes
2=No
Missing=Not applicable"
230,BLRAIR_OT2,Num,8,Central air handlers for other source boiler distribution,"1=Yes
2=No
Missing=Not applicable"
231,BLRFNCL_OT2,Num,8,Fan coil or induction units for other source boiler distribution,"1=Yes
2=No
Missing=Not applicable"
232,BLRDUCT_OT2,Num,8,Duct reheat for other source boiler distribution,"1=Yes
2=No
Missing=Not applicable"
233,BLRRAD_OT2,Num,8,Radiators for other source boiler distribution,"1=Yes
2=No
Missing=Not applicable"
234,BLRRDFL_OT2,Num,8,Radiant floor or ceiling panels for other source boiler distribution,"1=Yes
2=No
Missing=Not applicable"
235,BLRWTLP_OT2,Num,8,Water loop heat pump for other source boiler distribution,"1=Yes
2=No
Missing=Not applicable"
236,BLROTD_OT2,Num,8,Other type of other source boiler distribution,"1=Yes
2=No
Missing=Not applicable"
237,BLRAIR,Num,8,Central air handlers for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
238,BLRDUCT,Num,8,Duct reheat for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
239,BLRFNCL,Num,8,Fan coil or induction units for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
240,BLROTD,Num,8,Other type of boiler distribution,"1=Yes
2=No
Missing=Not applicable"
241,BLRRAD,Num,8,Radiators for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
242,BLRRDFL,Num,8,Radiant floor or ceiling panels for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
243,BLRWTLP,Num,8,Water loop heat pump for boiler distribution,"1=Yes
2=No
Missing=Not applicable"
244,PKGHPH,Num,8,Heat pump in packaged unit,"1=Yes
2=No
5=Don't know
Missing=Not applicable"
245,HPHPTHP,Num,8,Heat pumps are PTHPs,"1=Yes
2=No
3=Heat pumps are both PTHP and split-system
Missing=Not applicable"
246,HPHAIR,Num,8,Air source heat pump,"1=Yes
2=No
Missing=Not applicable"
247,HPHGRD,Num,8,Geothermal heat pump,"1=Yes
2=No
Missing=Not applicable"
248,HPHDUAL,Num,8,Combination air source and geothermal heat pump,"1=Yes
2=No
Missing=Not applicable"
249,HPHWTR,Num,8,Water loop heat pump,"1=Yes
2=No
Missing=Not applicable"
250,HPHVRF,Num,8,VRF system,"1=Yes
2=No
Missing=Not applicable"
251,SPHTPTHP,Num,8,Space heaters are PTHPs,"1=Yes
2=No
3=Space heaters are both PTHP and other types
5=Don't know
Missing=Not applicable"
252,FURNP_EL,Num,8,Pct heated by electric furnace,"1 - 100
Missing=Not applicable"
253,PKGHP_EL,Num,8,Pct heated by electric packaged unit,"1 - 100
Missing=Not applicable"
254,BOILP_EL,Num,8,Pct heated by electric boiler,"1 - 100
Missing=Not applicable"
