category,file_order,col_name,col_type,length,format,col_description,codes,codes_dict
1,50.0,PBAPLUS,Char,2.0,$PBAPLUS.,More specific building activity,"'01' = 'Vacant'
'02' = 'Administrative/professional office'
'03' = 'Bank/other financial'
'04' = 'Government office'
'05' = 'Medical office (non-diagnostic)'
'06' = 'Mixed-use office'
'07' = 'Other office'
'08' = 'Laboratory'
'09' = 'Distribution/shipping center'
'10' = 'Non-refrigerated warehouse'
'11' = 'Self-storage'
'12' = 'Convenience store'
'13' = 'Convenience store with gas station'
'14' = 'Grocery store/food market'
'15' = 'Other food sales'
'16' = 'Fire station/police station'
'17' = 'Other public order and safety'
'18' = 'Medical office (diagnostic)'
'19' = 'Clinic/other outpatient health'
'20' = 'Refrigerated warehouse'
'21' = 'Religious worship'
'22' = 'Entertainment/culture'
'23' = 'Library'
'24' = 'Recreation'
'25' = 'Social/meeting'
'26' = 'Other public assembly'
'27' = 'College/university'
(continued in next cell)","{'01': 'Vacant', '02': 'Administrative/professional office', '03': 'Bank/other financial', '04': 'Government office', '05': 'Medical office (non-diagnostic)', '06': 'Mixed-use office', '07': 'Other office', '08': 'Laboratory', '09': 'Distribution/shipping center', '10': 'Non-refrigerated warehouse', '11': 'Self-storage', '12': 'Convenience store', '13': 'Convenience store with gas station', '14': 'Grocery store/food market', '15': 'Other food sales', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '27': 'College/university'}"
1,,,,,,"More specific building activity, continued","'28' = 'Elementary/middle school'
'29' = 'High school'
'30' = 'Preschool/daycare'
'31' = 'Other classroom education'
'32' = 'Fast food'
'33' = 'Restaurant/cafeteria'
'34' = 'Other food service'
'35' = 'Hospital/inpatient health'
'36' = 'Nursing home/assisted living'
'37' = 'Dormitory/fraternity/sorority'
'38' = 'Hotel'
'39' = 'Motel or inn'
'40' = 'Other lodging'
'41' = 'Vehicle dealership/showroom'
'42' = 'Retail store'
'43' = 'Other retail'
'44' = 'Post office/postal center'
'45' = 'Repair shop'
'46' = 'Vehicle service/repair shop'
'47' = 'Vehicle storage/maintenance'
'48' = 'Other service'
'49' = 'Other'
'50' = 'Strip shopping mall'
'51' = 'Enclosed mall'
'52' = 'Courthouse/probation office'
'53' = 'Bar/pub/lounge'","{'28': 'Elementary/middle school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel', '39': 'Motel or inn', '40': 'Other lodging', '41': 'Vehicle dealership/showroom', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '45': 'Repair shop', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '53': 'Bar/pub/lounge'}"
1,51.0,DRYCL,Char,1.0,$DRYCLN.,Dry cleaning onsite,"'1' = 'In this building'
'2' = 'Off-site'
Missing = Not applicable","{'1': 'In this building', '2': 'Off-site', 'Missing': 'Not applicable'}"
1,52.0,VACANT,Char,1.0,$YESNO.,Completely vacant,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,53.0,CUBE,Char,1.0,$YESNO.,Open plan office space,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,54.0,CUBEC,Char,1.0,$CUBEC.,Percent open plan,"'1' = '1 to 20 percent'
'2' = '21 to 50 percent'
'3' = 'More than 50 percent'
Missing = Not applicable","{'1': '1 to 20 percent', '2': '21 to 50 percent', '3': 'More than 50 percent', 'Missing': 'Not applicable'}"
1,55.0,CUBELOC,Char,1.0,$CUBELC.,Location of open plan,"'1' = 'Near perimeter of building'
'2' = 'In core of building'
'3' = 'Entire building is open plan'
Missing = Not applicable","{'1': 'Near perimeter of building', '2': 'In core of building', '3': 'Entire building is open plan', 'Missing': 'Not applicable'}"
1,56.0,RWSEAT,Num,8.0,COMMA6.,Religious worship seating capacity,"20 - 1,500
99,995 = More than 15,000
Missing = Not applicable","{'20 - 1,500': 'continuous numerical range', '99,995': 'More than 15,000', 'Missing': 'Not applicable'}"
1,57.0,PBSEAT,Num,8.0,COMMA6.,Assembly seating capacity,"0 - 15,000
999995 = More than 15,000
Missing = Not applicable","{'0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', 'Missing': 'Not applicable'}"
1,58.0,EDSEAT,Num,8.0,COMMA6.,Number of classroom seats,"10 - 8,000
Missing = Not applicable","{'10 - 8,000': 'continuous numerical range', 'Missing': 'Not applicable'}"
1,59.0,FDSEAT,Num,8.0,COMMA6.,Food service seating capacity,"0 - 700
Missing = Not applicable","{'0 - 700': 'continuous numerical range', 'Missing': 'Not applicable'}"
1,60.0,HCBED,Num,8.0,COMMA6.,Licensed bed capacity,"25 - 250
9,995 = More than 250
Missing = Not applicable","{'25 - 250': 'continuous numerical range', '9,995': 'More than 250', 'Missing': 'Not applicable'}"
1,61.0,NRSBED,Num,8.0,COMMA6.,Licensed bed capacity,"16 - 250
9,995 = More than 250
Missing = Not applicable","{'16 - 250': 'continuous numerical range', '9,995': 'More than 250', 'Missing': 'Not applicable'}"
1,62.0,LODGRM,Num,8.0,COMMA6.,Number of guest rooms,"2 - 900
99,995 = More than 900
Missing = Not applicable","{'2 - 900': 'continuous numerical range', '99,995': 'More than 900', 'Missing': 'Not applicable'}"
1,63.0,COURT,Char,1.0,$YESNO.,Food court,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,64.0,FACIL,Char,1.0,$YESNO.,On a multibuilding complex,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
1,65.0,FEDFAC,Char,1.0,$YESNO.,Federal complex,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,66.0,FACACT,Char,2.0,$FACACT.,Type of complex,"'01' = 'College, university, or junior college'
'02' = 'Primary or secondary school [grades K-12]'
'03' = 'Other type of school'
'04' = 'Office complex'
'05' = 'Retail complex'
'06' = 'Storage complex'
'07' = 'Religious campus or complex'
'08' = 'Hospital or other health care complex'
'09' = 'Lodging or resort complex'
'10' = 'Post office complex'
'11' = 'Prison or correctional facility'
'12' = 'Other type of government complex'
'13' = 'Industrial complex'
'14' = 'Transportation complex such as a terminal, depot, or airport'
'15' = 'Other type of campus or complex'
Missing = Not applicable","{'01': 'College, university, or junior college', '02': 'Primary or secondary school [grades K-12]', '03': 'Other type of school', '04': 'Office complex', '05': 'Retail complex', '06': 'Storage complex', '07': 'Religious campus or complex', '08': 'Hospital or other health care complex', '09': 'Lodging or resort complex', '10': 'Post office complex', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', 'Missing': 'Not applicable'}"
1,67.0,MANIND,Char,1.0,$YESNO.,Manufacturing industrial complex,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,68.0,PLANT,Char,1.0,$YESNO.,Central physical plant on complex,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,69.0,FACDST,Char,1.0,$YESNO.,Plant produces district steam,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,70.0,FACDHW,Char,1.0,$YESNO.,Plant produces district hot water,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,71.0,FACDCW,Char,1.0,$YESNO.,Plant produces district chilled water,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,72.0,FACELC,Char,1.0,$YESNO.,Plant produces electricity,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
1,73.0,BLDPLT,Char,1.0,$YESNO.,Central plant in building,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
2,74.0,GOVOWN,Char,1.0,$YESNO.,Government owned,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
2,75.0,GOVTYP,Char,1.0,$GOVTYP.,Type of government,"'1' = 'Federal'
'2' = 'State'
'3' = 'Local'
'7' ='Withheld to protect confidentiality'
Missing = Not applicable","{'1': 'Federal', '2': 'State', '3': 'Local', '7': 'Withheld to protect confidentiality', 'Missing': 'Not applicable'}"
2,76.0,OWNTYPE,Char,2.0,$OWNTYPE.,Building owner,"'01' = 'Real estate investment trust (REIT)'
'02' = 'Other public or private corporation, partnership, LLC, or LLP'
'03' = 'Individual owner(s)'
'04' = 'Religious organization'
'05' = 'Non-profit organization (other than religious or government)'
'06' = 'Private academic institution'
'07' = 'Other non-government'
'08' = 'Federal government'
'09' = 'State government'
'10' = 'Local government'
'97' = Withheld to protect confidentiality'","{'01': 'Real estate investment trust (REIT)', '02': 'Other public or private corporation, partnership, LLC, or LLP', '03': 'Individual owner(s)', '04': 'Religious organization', '05': 'Non-profit organization (other than religious or government)', '06': 'Private academic institution', '07': 'Other non-government', '08': 'Federal government', '09': 'State government', '10': 'Local government', '97': 'Withheld to protect confidentiality'}"
2,77.0,NOCC,Num,8.0,,Number of businesses,"0 - 200
995 = More than 200","{'0 - 200': 'continuous numerical range', '995': 'More than 200'}"
2,78.0,NOCCAT,Char,2.0,$NOCCAT.,Number of businesses category,"'01' = 'Zero'
'02' = 'One'
'03' = '2 to 5'
'04' = '6 to 10'
'05' = '11 to 20'
'06' = '21 to 50'
'07' = '51 to 100'
'08' = 'More than 100'","{'01': 'Zero', '02': 'One', '03': '2 to 5', '04': '6 to 10', '05': '11 to 20', '06': '21 to 50', '07': '51 to 100', '08': 'More than 100'}"
2,79.0,OWNOCC,Char,1.0,$OWNOCC.,Owner occupied or leased to tenant(s),"'1' = 'Owner occupied'
'2' = 'Leased to tenant(s)'
'3' = 'Combination occupied and leased'
Missing = Not applicable","{'1': 'Owner occupied', '2': 'Leased to tenant(s)', '3': 'Combination occupied and leased', 'Missing': 'Not applicable'}"
2,80.0,OWNOPR,Char,1.0,$YESNO.,Owner responsible for operation and maintenance of energy systems,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
2,81.0,OWNPPR,Char,1.0,$YESNO.,Owner has purchasing power for energy-related equipment,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
